PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie_violet,CIP2A_APCCy7,VEGFR1_594,CD42_BV605,Colony
968,215,684,-99,417,348,214,"1,770",0
288,7,287,855,"1,048",164,"1,812","36,999",0
"1,734",305,707,826,504,136,220,729,0
"1,052",157,317,53,345,491,186,"2,311",0
"2,904",123,161,-73,165,129,123,216,0
-231,223,436,638,628,413,"1,603","63,309",0
417,115,801,"1,159",892,345,"1,065","50,324",0
676,31,534,490,248,243,429,"30,819",0
355,103,486,576,973,108,789,"27,885",0
550,256,151,"2,624","2,409","1,360","1,649","110,185",0
449,209,773,654,456,456,-43,"7,084",0
607,95,536,49,393,222,468,"18,302",0
455,302,447,"1,474",796,393,346,"18,755",0
761,186,710,320,587,301,467,"27,077",0
207,35,834,"2,165","2,421",619,409,"15,758",0
632,47,263,909,393,243,151,"9,316",0
669,140,685,348,440,346,"1,140","21,384",0
"6,201","4,184",776,"2,272",739,"37,748",580,"36,810",0
"3,414",227,817,"1,508",607,640,106,"6,017",0
924,185,589,"1,004",812,451,130,"4,671",0
"1,448",206,597,916,752,799,269,"8,473",0
280,26,428,97,557,156,798,"19,037",0
869,734,613,853,570,"7,843",-7,"20,016",0
636,259,654,"2,195","1,071",799,399,"27,302",0
63,265,"1,305",647,892,369,"1,020","45,791",0
"1,712",267,563,694,442,698,192,"1,917",0
659,106,439,784,330,243,156,"1,261",0
853,159,556,"1,122",485,408,-62,"7,349",0
567,334,880,"1,007",594,297,143,"30,537",0
843,161,668,-302,"1,023",489,753,"12,670",0
"2,132",181,251,131,306,162,150,"1,265",0
944,175,699,"1,027",615,207,256,"9,420",0
"3,367",189,754,394,484,686,197,"2,225",1
301,434,275,"1,847",868,"1,082",521,"31,370",0
"1,147",78,240,23,266,278,157,519,0
211,99,345,65,407,78,79,"12,151",0
178,38,184,336,322,194,143,"13,008",0
"1,953",171,629,335,565,"1,003",275,"13,378",0
129,66,728,514,643,383,"1,429","33,249",0
595,86,398,601,339,47,237,"6,146",0
"1,480",97,472,405,312,60,166,559,0
"1,096",38,193,72,468,737,754,"23,020",0
"1,553",327,378,"1,954","1,190","2,496",-25,"4,718",0
"2,422",174,"1,047",576,"1,160",670,699,"35,453",0
935,482,652,933,796,"3,392",795,"50,403",0
"1,397",93,162,634,309,202,160,249,0
317,179,370,580,592,106,-33,"16,429",0
777,121,319,410,599,237,842,"18,574",0
586,196,"1,426",534,"1,148",341,"1,108","36,493",0
613,150,878,975,514,768,579,"18,839",0
"2,508",222,967,408,612,441,215,"2,224",0
877,208,535,461,568,350,157,"1,909",0
290,122,502,-21,404,205,578,"6,477",0
287,329,16,"2,795","1,205",329,639,"29,490",0
274,109,447,332,658,110,236,"6,461",0
"1,884",194,478,134,671,658,170,858,0
"2,060",0,545,111,382,421,207,577,0
385,308,338,709,561,274,190,"19,072",0
832,50,547,257,467,188,110,"6,876",0
310,49,93,"1,551","1,013",459,662,"23,502",0
"1,378",78,366,399,387,352,165,"1,520",0
99,428,"1,020",724,"1,297",845,742,"26,553",0
"1,189",-82,"1,373",-49,515,250,235,865,0
"1,420",444,"1,024",559,751,"1,394",816,"27,772",0
"1,283",138,259,704,419,439,59,"6,381",0
795,216,295,460,341,382,30,"8,621",0
"1,645",85,587,181,850,479,406,"9,319",0
621,-31,772,"7,731",243,666,158,130,0
140,93,431,591,775,202,293,"11,087",0
931,231,660,722,868,608,214,"19,248",0
"2,595",313,402,"1,020",541,451,183,"13,617",0
452,44,"1,160",229,392,862,278,"3,238",0
862,137,553,681,501,196,455,"12,126",0
"1,067",94,576,366,661,207,113,"3,585",0
366,173,252,583,542,303,734,"37,495",0
"1,075",286,"1,233",526,865,346,865,"43,332",0
"1,221",84,284,-113,278,61,165,587,0
216,121,83,"1,914","1,186",293,290,"13,014",0
"1,444",84,446,-47,274,1,176,425,0
340,349,436,286,256,64,424,"13,699",0
615,335,947,953,464,529,-39,"16,618",0
"2,015",127,475,480,463,336,34,800,0
