Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
F24,1,"90,134","122,491","18,463",-53,714,320,119,81,"16,222",198,"5,302",N
G1,1,"98,440","122,201","17,653","2,511",177,196,39,284,30,461,391,N
G2,1,"120,375","166,714","33,978","1,092",295,493,-22,555,"9,575",308,"1,840",N
G3,1,"88,261","126,414","22,445","1,073",462,430,-82,299,"7,245",157,"1,690",N
G4,1,"98,999","128,547","23,741","1,575",128,292,82,511,581,429,635,N
G5,1,"136,009","176,445","59,503",332,921,"1,056",143,"1,366","18,398",669,"2,007",N
G6,1,"102,332","143,693","21,815","2,615",333,452,97,191,"11,262",357,"2,243",N
G7,1,"96,119","128,701","25,221","1,139",891,292,18,133,"14,741",516,"2,199",N
G8,1,"78,121","111,745","17,349","1,872",-25,124,3,199,174,378,228,N
G9,1,"73,842","107,658","22,977",884,137,244,-41,440,243,256,529,N
G10,1,"99,252","137,353","30,126","1,453",173,515,170,639,"2,615",209,788,N
G11,1,"94,256","145,588","22,848",514,784,331,-105,186,"24,930",482,"4,212",N
G12,1,"106,814","155,170","20,976","1,643",488,351,-26,-6,"17,205",321,"5,804",N
G13,1,"65,941","124,096","20,968","1,026",172,221,24,185,"2,342",450,201,N
G14,1,"131,482","177,842","44,427","1,255",790,478,162,702,"20,515",685,"1,102",N
G15,1,"74,048","112,812","46,050",-160,974,854,42,"1,627","7,958",498,"2,263",N
G16,1,"83,105","114,795","24,928","1,042",23,149,1,275,360,349,427,N
G17,1,"80,431","127,039","23,363","3,844",593,"1,151",102,328,"4,446",273,"2,258",N
G18,1,"110,933","138,640","25,498","2,363",782,648,120,307,"10,867",766,568,N
G19,1,"72,731","107,106","23,889",617,454,284,101,381,"5,752",496,710,N
G20,1,"108,674","142,430","31,676","2,221",300,369,106,655,"1,032",380,921,N
G21,1,"87,138","119,350","20,439","2,689",-72,298,172,306,"6,519",-11,246,N
G22,1,"61,165","121,118","20,420",732,573,742,157,254,"13,178",352,"1,478",N
G23,1,"98,106","126,592","22,453","1,862",860,738,239,382,"21,057",363,"1,055",N
G24,1,"85,021","129,592","72,872","1,052",607,939,56,"1,496","10,005",581,"2,312",N
H1,1,"82,432","110,411","22,244",912,203,292,65,381,"2,873",375,516,N
H2,1,"116,997","164,946","96,140",-211,166,"1,213",368,-40,"52,630",929,"27,681",N
H3,1,"100,117","135,284","42,270","-1,813",477,945,187,793,"26,536",603,"5,512",N
H4,1,"84,818","126,218","22,286",153,295,689,-49,264,"27,269",464,"1,827",N
H5,1,"84,422","120,609","27,094","1,332",532,438,108,387,"15,525",224,339,N
H6,1,"112,236","147,927","38,478",686,"1,124",688,206,8,"19,774",220,"7,003",N
H7,1,"104,480","131,341","28,200","2,686",432,233,66,290,"1,769",695,376,N
H8,1,"94,950","122,334","26,286","3,369",591,"1,095",159,462,"5,867",242,368,N
H9,1,"110,575","139,444","44,119",721,587,987,190,406,"10,603",340,"10,732",N
H10,1,"97,875","141,273","59,801",-657,133,538,"1,494",974,"21,111",336,"13,047",N
H11,1,"114,016","171,944","34,906","2,022",601,"1,111",138,574,"14,876",439,"3,219",N
H12,1,"98,545","127,098","39,044",-117,840,659,77,522,"15,321",413,669,N
H13,1,"109,392","142,075","21,259","3,236",436,519,132,309,"3,714",329,409,N
H14,1,"86,711","134,687","48,400",157,853,642,334,"1,478","7,043",575,"1,841",N
H15,1,"108,001","151,381","41,828",-346,737,740,220,640,"18,635",300,"3,111",N
H16,1,"83,680","111,798","17,434","2,068",64,153,27,266,720,215,682,N
H17,1,"99,605","125,232","17,813","1,363",605,586,110,125,"9,807",493,134,N
H18,1,"87,017","120,220","24,484","1,624",151,187,143,235,"2,630",466,249,N
H19,1,"103,843","149,600","23,520","1,488",557,728,-45,259,"6,209",154,"1,549",N
H20,1,"82,390","125,523","23,467",-355,355,239,226,47,"15,052",283,"4,547",N
H21,1,"75,389","127,694","54,558","1,035",592,"1,255",-157,"1,248","6,001",274,"1,236",N
H22,1,"96,342","122,144","24,150","1,770",139,189,161,207,747,617,343,N
H23,1,"82,258","117,574","16,368","1,887",631,460,-58,236,"9,611",262,"1,151",N
H24,1,"168,222","205,246","39,821","2,683","1,304","1,203",25,896,"14,739","1,073","1,525",Y
I1,1,"117,904","141,168","30,539","2,313",614,966,138,372,"16,340",754,"1,058",N
I2,1,"69,974","107,722","32,982",504,280,437,368,597,"2,815",410,873,N
I3,1,"81,560","112,938","21,898","1,674",125,265,160,306,"1,128",292,353,N
I4,1,"99,623","136,813","27,972","3,792",198,216,-69,276,"1,096",507,336,N
I5,1,"102,264","133,943","22,673","1,296",173,392,222,184,"7,259",284,"2,466",N
I6,1,"101,928","141,789","24,244","2,887",491,671,132,479,"12,598",643,999,N
I7,1,"113,796","157,402","25,253","1,692","1,135",562,179,265,"23,174",256,"3,124",N
I8,1,"117,807","150,558","25,148","3,050",781,584,-67,12,"23,294",750,"8,533",N
I9,1,"67,704","104,519","15,265","1,537",217,130,18,178,"2,728",372,509,N
I10,1,"81,212","107,973","19,427","1,274",142,178,74,231,897,238,334,N
I11,1,"81,521","145,474","33,951","1,672","1,309",855,133,171,"33,140",376,"5,401",Y
I12,1,"104,976","139,911","22,884","1,147",301,365,-17,468,"1,683",769,492,N
I13,1,"88,467","132,270","21,440",102,809,617,57,296,"14,393",127,"2,909",N
I14,1,"103,254","127,058","26,344","1,755",759,738,110,361,"17,311",382,"2,164",N
I15,1,"96,663","126,291","31,079",548,280,499,34,946,"1,039",263,"1,186",N
I16,1,"80,435","113,236","22,330","1,314",151,250,2,264,"1,856",298,472,N
I17,1,"109,994","140,488","24,157","4,100",52,143,58,220,"1,281",693,216,N
I18,1,"72,480","105,592","19,395","1,087",316,319,89,240,"1,875",212,193,N
I19,1,"104,415","146,810","23,110","1,439",135,296,2,215,"6,162",326,"2,551",N
I20,1,"104,116","137,399","24,561",853,80,415,172,626,"1,261",389,975,N
I21,1,"164,854","201,467","39,192",797,828,826,354,343,"21,599","1,229","5,396",N
I22,1,"90,644","122,623","16,121","1,700",272,125,96,170,358,651,225,N
I23,1,"116,498","163,417","32,198","1,367",794,265,191,-90,"17,320",846,"12,259",N
I24,1,"90,028","129,863","20,805","1,529",460,676,-109,178,"10,126",16,"5,885",N
J1,1,"104,283","144,143","29,893","1,823",650,444,-11,595,"16,642",535,"3,004",N
J2,1,"85,436","111,920","18,744","2,488",197,588,-5,262,"3,392",218,323,N
J3,1,"86,609","125,221","32,153","2,329",448,643,48,760,"2,315",309,863,N
J4,1,"98,293","153,196","37,165",350,339,223,-71,-137,"23,702",73,"13,246",N
J5,1,"96,316","125,063","23,177","1,491",94,297,112,219,"3,694",251,413,N
J6,1,"91,881","122,958","25,679","1,136",397,551,312,718,"6,628",268,"1,089",N
J7,1,"121,361","151,208","43,741",413,681,976,-23,242,"25,807",243,"7,900",N
J8,1,"88,650","132,340","17,297","1,156",590,276,75,159,"10,230",422,"1,709",Y
J9,1,"128,062","158,183","20,961","3,011",625,381,7,315,"6,953",610,860,N
J10,1,"93,238","154,118","56,416",430,596,616,147,387,"10,550",484,"8,874",N
J11,1,"93,597","121,821","26,161","1,812",182,260,56,453,"2,300",270,582,N
J12,1,"102,304","145,508","62,387",621,785,468,99,249,"19,648",450,"12,350",N
J13,1,"100,281","146,753","32,035",984,871,402,179,-49,"19,063",192,"7,638",N
J14,1,"97,133","126,223","23,622","1,770",419,415,-38,271,"5,925",361,315,N
J15,1,"99,877","141,700","34,083","1,812",684,554,-83,106,"21,984",116,"4,414",N
J16,1,"104,610","136,601","28,629",949,63,203,76,221,"2,651",416,248,N
J17,1,"104,678","142,123","20,949","1,864",535,374,154,119,"11,217",685,"2,140",Y
J18,1,"70,160","136,830","26,632","1,269",712,"1,162",136,83,"10,411",522,"6,315",N
J19,1,"92,151","126,386","20,458",572,348,247,-98,184,"10,606",162,"3,536",N
J20,1,"109,428","148,940","58,077",-887,792,596,2,924,"23,996",257,"7,159",N
J21,1,"108,904","132,228","31,322",955,356,271,20,356,"3,563",424,419,N
J22,1,"71,626","111,739","23,678",-715,"1,075",481,274,243,"17,995",339,"1,814",N
J23,1,"88,837","117,559","25,685",264,605,398,86,577,"9,709",373,758,N
J24,1,"83,708","131,129","45,476",672,641,706,114,"1,089","7,085",522,"1,216",N
K1,1,"145,284","180,107","52,065","2,794",621,"1,195",224,596,"19,196",642,"2,142",N
K2,1,"74,975","107,318","16,590","1,197",27,99,21,100,873,430,60,N
K3,1,"123,942","173,695","87,007","-1,765",932,735,149,976,"25,398",460,"3,848",N
K4,1,"95,684","124,360","24,152","1,862",277,208,149,302,"2,897",414,376,N
K5,1,"119,277","167,555","70,384",-967,"1,155","1,522",349,"1,779","22,694",889,"2,806",N
K6,1,"111,919","151,540","29,327","2,926",60,166,68,322,550,381,352,N
K7,1,"59,666","96,722","28,649",174,732,614,281,899,"2,392",356,"1,446",N
K8,1,"124,417","167,398","38,456",336,720,426,-102,-103,"31,146","1,094","15,230",N
K9,1,"113,597","153,650","31,993","1,604",160,953,158,647,"20,171",309,552,N
K10,1,"121,370","172,510","49,784",-881,255,777,104,615,"22,987",511,"1,663",N
K11,1,"79,442","119,298","24,033",74,471,422,18,212,"18,956",331,"6,944",N
