Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
G10,1,"55,853","122,791","44,650",98,211,644,82,"1,653","2,522",253,"3,123",N
G11,1,"114,707","131,670","65,614",178,185,608,46,749,"6,100",326,"12,048",N
G12,1,"103,728","134,928","31,251","1,054",-28,745,49,928,"2,670",165,"5,024",N
G13,1,"57,330","112,801","46,617",582,197,375,25,895,"2,524",370,"1,434",N
G14,1,"94,299","140,173","57,121","5,050",-26,599,165,571,"1,995","1,424","6,164",N
G15,1,"90,859","120,737","23,238","1,140",144,518,-86,645,"2,144",201,"6,126",N
G16,1,"84,958","130,083","35,177",388,105,386,124,392,"1,856",141,444,N
G17,1,"63,989","103,334","42,178",872,142,536,7,507,"1,100",224,490,N
G18,1,"84,496","142,046","36,532","1,060",93,414,53,333,"4,087",161,"2,903",N
G19,1,"108,997","156,663","83,361","3,745",746,883,993,"2,237","10,970",306,"17,388",N
G20,1,"72,325","110,942","60,511",124,72,835,118,"1,537","6,814",427,"3,178",N
G21,1,"78,288","131,381","28,265","2,999",159,394,72,737,"2,915",552,"3,771",Y
G22,1,"109,057","163,319","33,426","2,062",192,699,157,716,"1,282",711,"1,259",Y
G23,1,"97,476","150,529","76,591","5,060",84,722,55,"1,596","2,353","1,524","4,268",N
G24,1,"112,125","141,453","39,272",805,88,299,-19,445,"3,080",158,"1,106",N
H1,1,"82,766","140,522","55,010",417,423,617,94,"1,260","4,063",314,"2,717",N
H2,1,"103,137","133,642","33,222","4,206",131,739,-19,777,983,837,795,N
H3,1,"67,128","96,415","23,460",99,60,365,60,630,"1,996",191,"1,633",N
H4,1,"100,653","126,783","30,755","4,217",234,414,-104,484,"1,597",572,"6,164",N
H5,1,"43,041","81,826","7,987",-81,110,115,175,91,"2,544",49,"5,396",N
H6,1,"98,784","152,109","24,979","4,245",317,470,274,788,715,902,"2,593",Y
H7,1,"74,389","137,174","42,557","2,753",848,673,390,"1,658","2,934",-20,"8,758",N
H8,1,"86,166","133,833","70,589",867,147,"1,315",131,"2,019","7,517",575,"2,389",N
H9,1,"76,557","117,877","68,663",283,47,931,157,"1,475","4,336",438,"1,674",N
H10,1,"107,866","165,158","58,970","1,906",564,805,94,"1,629","8,318",336,"5,575",N
H11,1,"88,468","127,702","38,684","1,346",224,816,97,"1,602","1,072",573,"1,304",N
H12,1,"96,580","151,917","61,570","1,362",-13,801,74,714,"3,653",294,841,N
H13,1,"100,467","129,038","26,901","4,156",235,321,23,435,"1,997",269,"5,135",N
H14,1,"92,458","118,298","23,539","1,692",305,812,193,"1,122","3,292",-39,"10,356",N
H15,1,"92,312","146,034","35,839",620,134,188,79,265,900,13,"1,508",N
H16,1,"87,039","129,405","27,693",358,126,437,177,567,"3,650",150,"3,261",N
H17,1,"70,239","112,305","46,523",30,73,787,-8,"1,061","3,434",318,"4,973",N
H18,1,"116,360","167,788","55,203","4,571",284,925,272,"1,299","2,854",589,"9,337",N
H19,1,"77,384","113,676","46,506","1,502",201,669,32,"1,274","2,749",380,"1,115",N
H20,1,"102,441","155,971","88,719",668,401,"1,316",243,"1,726","7,481",612,"21,357",N
H21,1,"94,201","126,962","24,513","2,973",172,346,1,345,"2,901",386,"1,793",N
H22,1,"88,352","124,701","35,927","4,197",188,719,-41,849,"1,045",899,"1,766",N
