Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate
G1,"107,627","133,144","43,276","2,817",-152,584,171,464,"8,993",263,"3,145",Y,1
G2,"122,777","129,468","34,164","5,717",-328,"1,568",243,367,"12,005",332,"1,363",N,1
G3,"128,351","137,299","74,119",369,-170,44,459,-787,"23,999",452,"44,995",N,1
G4,"131,108","133,869","27,873","3,253",-21,409,89,-56,"7,164",560,"7,952",Y,1
G5,"100,092","115,033","23,323","1,924",-254,398,69,243,"9,141",397,648,Y,1
G6,"105,933","118,025","26,278",-48,"1,288",558,128,740,"11,743",476,"4,482",N,1
G7,"128,107","133,256","28,912","3,586",403,626,238,282,"9,563",725,"4,054",N,1
G8,"114,807","140,465","25,461","4,269",-76,348,-5,162,"6,358",393,"1,311",Y,1
G9,"96,097","136,573","60,261",235,-405,428,-91,-87,"12,924",527,"22,638",N,1
G10,"92,952","111,527","23,423","2,621",-362,551,15,117,"9,599",256,398,Y,1
G11,"107,926","122,431","26,388","2,747",32,328,38,205,"1,613",-61,248,N,1
G12,"80,762","106,485","37,034","2,282",176,900,538,565,472,473,471,N,1
G13,"130,393","140,439","29,295","1,349",-139,317,83,389,"7,571",73,486,N,1
G14,"100,878","111,790","26,573","2,987",-17,266,90,246,"5,444",258,272,N,1
G15,"121,612","152,195","38,290","5,344",-472,663,154,282,"16,144",369,383,N,1
G16,"109,874","138,999","29,294","4,329",-476,598,96,220,"16,624","1,144","1,437",N,1
G17,"115,203","141,935","32,212","4,392",-148,497,192,361,"6,610",32,486,Y,1
G18,"97,963","110,446","17,836","3,386",-150,366,174,104,"6,977","1,787",825,N,1
G19,"120,678","139,030","26,724","2,404",-85,453,144,177,"9,432",343,"3,555",N,1
G20,"144,506","153,348","43,050","5,320",123,"1,218",130,636,"9,432",851,"1,108",Y,1
G21,"139,504","154,843","48,211","7,286",-269,836,161,125,"16,966","1,448","11,312",N,1
G22,"106,771","142,739","34,294","1,657",-149,462,303,-25,"7,074",81,"13,941",N,1
G23,"184,877","198,977","64,919","4,238","-1,114","1,205",238,521,"31,903","1,715","8,810",N,1
G24,"115,682","140,664","50,190",487,-3,885,293,890,"5,657",367,"1,093",Y,1
H1,"87,875","108,122","50,419",789,-288,672,68,616,"9,424",424,"2,000",N,1
H2,"162,773","176,497","74,898","9,759",-133,"1,431","3,031",907,"28,703",514,"17,548",Y,1
H3,"138,050","168,889","52,482","1,317",-43,306,94,70,"8,508",428,"13,997",N,1
H4,"125,020","144,759","28,425","1,756",-407,479,85,93,"12,817",393,"6,215",N,1
H5,"107,292","159,152","42,034","1,973",-550,788,-34,522,"19,159",268,"3,775",N,1
H6,"99,531","119,292","22,423","2,385",-168,444,94,225,"5,269",400,329,Y,1
H7,"119,559","174,929","82,235",197,-528,473,81,359,"21,671",438,"21,396",N,1
H8,"93,935","114,347","39,792",986,-182,800,82,753,"9,757",207,769,N,1
H9,"103,565","123,551","22,689","3,406",-228,163,8,107,"8,740",16,"2,007",Y,1
H10,"84,737","128,525","47,232",-114,166,410,"1,204",288,"14,606",-94,"15,827",N,1
H11,"100,987","143,761","56,702",-124,-355,415,185,-255,"14,940",432,"21,312",N,1
H12,"102,752","112,448","32,879","2,084",-223,428,92,258,"6,846",283,263,N,1
H13,"116,169","145,268","48,377",663,-568,809,-41,-394,"18,863",135,"29,341",N,1
H14,"107,328","119,216","22,962","2,235",-147,467,82,180,"6,537",9,330,Y,1
H15,"92,979","120,289","38,729","1,893",-89,973,164,671,"6,571",387,692,N,1
H16,"114,016","136,157","20,769","1,919",-357,581,379,68,"9,602",806,"3,819",N,1
H17,"104,452","122,493","20,530","1,763",-215,360,-48,-3,"10,089",476,"3,756",Y,1
H18,"119,436","137,474","46,691","2,133",-633,338,89,82,"20,110",385,"8,457",N,1
H19,"110,707","134,082","41,230","3,303",-202,682,29,172,"7,162",150,"3,265",N,1
H20,"101,520","122,705","57,340",528,-265,664,70,579,"10,648",310,"1,430",N,1
H21,"177,162","165,571","75,492","5,515",-456,"1,734",782,386,"27,547",303,"17,495",Y,1
H22,"99,370","116,323","21,537","2,043",-191,358,61,197,"5,988",523,285,Y,1
H23,"177,015","188,641","67,976","2,345",-117,606,62,767,"9,271",413,"8,086",N,1
H24,"102,882","128,261","44,600","3,233",-555,"1,184",56,291,"24,563",244,"7,929",N,1
I1,"111,373","129,240","38,840","1,670",-302,818,105,403,"11,111",945,587,N,1
I2,"105,377","128,305","73,461",820,-186,580,83,319,"13,139",487,"9,790",N,1
I3,"105,864","125,071","23,594","1,679",-106,312,64,95,"6,669",-10,"3,131",N,1
I4,"118,392","133,389","39,259","1,095",-587,546,-75,304,"18,060",355,"3,201",Y,1
I5,"130,715","135,160","27,297","1,968",-213,388,200,54,"12,582",479,"5,189",N,1
I6,"104,851","116,553","24,941","2,669",-20,466,21,142,"4,237",931,185,N,1
I7,"128,433","141,968","81,950",351,-826,"1,028",34,400,"23,985",651,"6,970",N,1
I8,"95,246","129,286","36,387","2,927",-372,604,26,399,"10,287",455,491,Y,1
I9,"112,862","147,827","39,262","4,574",-229,674,67,310,"13,395",666,354,Y,1
I10,"117,090","146,332","28,356","3,594",-154,874,96,409,"6,508",582,510,Y,1
I11,"101,733","113,679","61,272",604,257,904,261,735,430,458,"3,141",N,1
I12,"95,507","121,423","23,147","2,226",68,494,398,162,"1,844",153,232,N,1
I13,"105,704","145,013","45,129","2,976",-375,650,237,543,"13,081",798,632,N,1
I14,"94,753","156,082","32,318","1,840",-216,791,46,178,"11,913",8,"13,982",N,1
I15,"125,127","151,926","91,233",742,-673,913,22,450,"18,977",526,"5,595",N,1
I16,"135,047","155,443","40,642","3,447",-747,812,74,331,"17,967",999,"4,144",N,1
I17,"103,525","121,789","24,677","2,699",-331,412,-60,120,"13,245",232,"2,303",Y,1
