CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
-233,161,148,"1,816",286,162,"2,350",0
"2,158",742,89,876,384,153,"1,305",0
"3,487",323,172,413,490,273,294,0
"1,296",237,66,432,213,199,389,0
"1,351",284,102,218,265,123,"4,086",0
"2,212","1,312",307,196,611,698,"1,216",0
176,326,53,178,146,229,"1,714",0
999,-192,68,649,251,97,392,0
"3,246","1,440",72,543,991,305,"2,132",0
797,"1,159",89,895,483,319,"1,708",0
632,-52,45,769,309,29,"1,060",0
758,"1,024",79,"2,185",465,260,"1,637",0
"6,125","1,978",93,405,344,389,"1,443",0
720,916,67,532,172,263,"1,258",0
"1,647",36,50,438,431,131,"1,276",0
"1,407",784,65,"1,094",532,240,"2,008",0
"2,517","1,321",128,585,347,326,"1,799",0
"3,230",831,140,601,747,268,"2,135",0
"3,770",100,75,865,328,183,"1,190",0
"6,427","1,985",275,"1,061","1,214",449,"2,967",0
"1,331",686,87,106,276,289,435,0
821,509,81,"1,002",205,215,-5,0
"1,755","1,605",156,"1,206",857,285,"1,836",0
"4,102","1,367",152,537,"1,250",291,"2,204",0
669,606,104,398,573,180,625,0
"1,701",19,262,663,508,255,378,0
369,"1,091",77,957,316,196,"1,281",0
994,461,102,"1,977",358,108,540,0
"3,333",89,71,340,410,176,794,0
"3,418",-18,57,"1,117",239,101,"1,319",0
"7,564",363,120,417,"1,037",99,"1,161",0
"1,824","1,488",123,"1,353",783,292,"1,616",0
896,401,70,"1,340",211,171,"1,447",0
413,598,140,998,322,162,"1,238",0
"1,230",690,86,212,412,256,593,0
-315,26,176,817,63,895,"10,907",0
506,518,16,255,302,133,99,0
"1,192",371,41,44,337,227,978,0
"4,020","1,036",94,681,564,235,"1,538",0
480,989,97,414,226,251,722,0
"1,316","1,124",80,"1,944",309,146,"1,648",0
"1,810",545,82,"1,151",291,150,"1,984",0
529,900,41,588,237,187,838,0
"1,480","1,028",55,"1,382",279,192,472,0
"1,822",658,72,961,574,136,"1,463",0
"8,651","2,331",338,-102,804,538,"9,298",0
"2,941",287,100,"2,192",637,241,938,0
"5,982",648,160,62,552,280,"3,422",0
700,906,71,640,284,91,300,0
"1,059",388,74,656,298,157,"1,181",0
"1,995","1,520",260,"1,803",895,546,"5,595",0
"1,017","1,213",142,572,416,378,"1,978",0
"1,402",556,22,597,179,257,719,0
56,737,66,188,276,315,929,0
400,543,54,"1,716",139,211,976,0
"3,145",688,247,"1,196",638,492,"1,032",0
"1,391",663,168,"1,363",330,300,622,0
898,410,43,571,221,196,240,0
537,-75,29,102,109,47,324,0
"13,495",674,111,753,606,215,99,0
"1,488","1,326",92,"1,249",362,229,"1,240",0
"1,338","1,234",157,"1,735",574,291,"3,515",0
"3,692","1,314",61,512,609,188,"1,568",0
466,677,156,"1,133",327,249,"1,242",0
"3,339",409,74,433,831,159,"1,617",0
"1,205",721,67,118,200,173,147,0
"1,013",511,75,338,219,208,"1,107",0
"1,394","2,144",220,"1,618",727,666,"3,676",0
299,781,98,"1,135",290,251,"1,210",0
140,227,92,978,111,178,214,0
"2,646","1,582",64,903,692,398,"2,455",0
466,286,62,"1,600",222,160,"4,711",0
"3,872",623,176,"1,618",969,367,"1,605",0
988,-28,39,751,185,14,123,0
354,570,74,359,155,100,374,0
"1,274",451,200,962,581,354,"1,071",0
594,175,151,753,314,289,575,0
597,552,126,"1,728",707,217,"1,178",0
"1,187",351,93,"1,701",250,99,812,0
-856,"1,404",249,526,159,"1,005","30,894",0
"3,498",544,115,895,803,120,"1,867",0
990,452,91,"1,690",211,160,"1,214",0
334,474,42,"1,214",174,78,175,0
"6,645","1,436",131,"2,042",787,589,"2,586",0
"2,953",759,69,"1,041",350,209,"1,470",0
"2,616",134,222,692,820,295,613,0
942,"1,093",63,"1,674",239,224,"1,739",0
"1,486",265,71,686,315,89,526,0
"4,265",570,53,529,464,151,792,0
583,473,23,640,208,107,"1,453",0
255,661,69,"1,679",249,60,"1,432",0
379,294,147,"1,190",380,229,"1,091",0
917,225,124,"2,090",342,144,805,0
"7,131","1,111",113,651,566,388,"1,592",0
378,-19,54,957,888,48,"1,062",0
"3,819",280,61,443,603,234,"2,974",0
"3,269","1,052",94,774,758,207,"1,391",0
"5,936",830,353,44,706,660,"1,226",0
246,272,40,376,190,231,315,0
"7,986","1,244",238,-45,"1,022",443,"2,965",0
"1,819",443,62,434,397,103,"1,992",0
"3,770","1,109",191,456,472,354,"1,145",0
"4,555","1,026",106,767,"1,172",231,"1,749",0
642,879,69,925,190,166,"1,000",0
650,655,65,417,303,198,621,0
602,"1,322",183,947,532,491,"3,030",0
"-1,786",594,192,911,358,969,"71,883",0
"2,381",772,205,328,488,377,"1,178",0
"2,525","1,239",144,876,551,211,571,0
555,405,181,775,360,298,764,0
351,165,64,609,178,276,179,0
379,"1,198",124,548,462,275,"1,311",0
688,"1,438",321,"1,015",648,460,"4,757",0
883,"1,202",177,"1,291",376,289,"2,332",0
547,363,52,"1,139",223,60,774,0
304,531,115,"1,305",316,216,422,0
"1,639","1,543",296,"1,397","4,960",526,"1,272",0
309,85,83,728,204,149,681,0
"3,784",906,131,"1,483",802,271,"2,105",0
"2,845","1,292",59,"1,035",439,462,"2,074",0
"1,079",113,52,"1,616",319,14,337,0
"2,204",850,239,5,648,160,"2,731",0
"2,124",326,85,592,470,169,985,0
625,320,76,"1,857",256,187,347,0
995,"1,215",114,"1,604",482,380,"1,973",0
303,240,44,982,177,54,-64,0
"5,486",25,65,61,567,99,"2,072",0
"2,460",710,81,"1,774",837,191,"1,617",0
"4,135",75,40,"1,914",478,147,"1,605",0
"1,314",227,51,365,239,183,"1,784",0
"1,340",488,182,315,544,419,587,0
"3,263",444,212,301,554,148,"1,451",0
"1,538",456,190,913,618,212,"2,564",0
"2,954",132,84,882,328,106,"1,265",0
"5,730","1,517",109,280,584,405,"1,371",0
"4,490",347,139,"1,281",594,214,"1,761",0
"5,649",927,126,535,989,245,"1,067",0
"1,045",492,221,577,563,274,"1,438",0
200,182,71,884,190,97,366,0
"1,903",301,68,584,379,117,"1,196",0
"3,125",529,84,617,422,119,"1,593",0
346,224,72,646,198,127,538,0
"2,707","1,075",206,"1,044",643,425,"1,382",0
163,227,82,"1,143",233,140,477,0
"3,892",412,159,"1,698",798,320,"3,254",0
181,319,63,"1,067",182,135,263,0
"3,395",690,196,"1,350",673,304,"10,552",0
315,213,61,"1,881",244,136,253,0
213,19,128,309,200,168,331,0
890,408,91,"1,049",360,144,"1,577",0
710,56,164,802,311,204,"1,196",0
928,60,181,355,447,388,416,0
"2,257","1,356",224,667,423,283,"5,317",0
"4,953",419,182,10,454,300,634,0
"1,865",20,63,702,439,122,332,0
"2,376",323,262,539,455,456,317,0
681,406,102,"1,688",577,164,"1,293",0
140,81,112,"1,424",330,71,382,0
180,20,52,"1,596",112,79,327,0
"1,152",415,162,"1,566",437,206,"2,220",0
-83,352,81,556,155,122,277,0
"12,446",836,133,"1,899","1,173",323,"1,737",0
576,"1,322",49,"1,162",179,92,"1,012",0
"1,682",413,80,619,374,130,"1,700",0
"3,545",272,80,507,422,68,982,0
"9,377",400,227,708,598,258,741,0
"6,429",94,85,"1,498",491,103,648,0
"2,851",176,98,"1,171",434,236,"1,839",0
"2,902",357,57,"1,304",312,182,"1,520",0
"6,539",271,53,653,355,36,562,0
460,196,35,"1,295",232,83,411,0
956,351,51,"1,254",130,37,719,0
312,111,50,648,87,73,569,0
"2,038",249,88,878,698,55,"1,203",0
"1,881",96,81,242,214,123,"1,405",0
"2,593",212,48,"1,382",351,95,"1,575",0
"5,760",484,196,174,655,266,713,0
488,180,114,"1,236",267,170,"1,753",0
"2,651",193,85,550,177,150,761,0
"2,016",351,180,462,442,301,"1,185",0
"3,692",593,79,553,526,225,"2,282",0
"3,202",496,84,697,805,119,996,0
"2,892",190,90,451,304,178,891,0
"4,476",772,129,119,657,269,"1,263",0
"2,050",137,79,935,330,68,615,0
447,147,18,953,142,20,686,0
"4,231",41,126,487,819,139,813,0
"5,037",320,139,"1,018",677,174,847,0
32,233,57,"1,079",149,81,446,0
"6,788",813,165,50,989,326,"3,675",0
"1,464",247,67,"1,663",251,140,"1,410",0
"6,752",765,237,518,870,278,"1,365",0
"6,301",745,112,519,675,335,"1,205",0
"1,002",67,63,565,279,128,852,0
"5,367",557,96,143,966,272,"2,153",0
"1,406",320,118,748,275,381,487,0
"1,644",351,85,378,245,116,404,0
"7,134","2,559",263,813,959,575,"7,534",0
"4,493",851,195,844,748,237,"2,455",0
"1,667",272,110,"1,581",443,124,"1,137",0
"1,341",514,118,"1,781",712,300,897,0
"3,568",584,173,948,831,832,"6,972",0
"2,125",191,33,383,325,174,520,0
"5,598",325,105,673,722,61,811,0
"4,358",425,111,822,"1,105",207,"1,656",0
"3,358",384,106,741,419,153,916,0
244,100,71,780,104,175,345,0
386,103,52,989,182,106,110,0
"7,151","1,108",156,411,765,267,330,0
426,224,73,763,170,74,447,0
"4,480",455,86,756,"1,021",54,624,0
"5,026","1,009",120,822,805,193,"1,576",0
"3,586",145,90,488,516,97,673,0
731,201,68,"1,790",212,126,779,0
"3,777",671,383,87,914,537,"1,505",0
91,242,126,585,284,269,989,0
"1,768",338,90,735,308,365,"2,468",0
328,49,201,819,186,"1,328","9,138",0
808,401,70,709,141,340,"1,164",0
"4,856",403,85,290,339,334,"7,232",0
142,32,87,"1,565",340,47,443,0
"4,272","1,193",187,"1,484",662,284,"1,919",0
"12,196","1,354",286,79,936,"1,376","2,071",0
603,800,134,"1,227",555,241,"1,191",0
"3,509",464,48,515,630,99,870,0
"1,770",582,132,"1,068",344,285,931,0
"1,757",245,214,545,558,277,901,0
"1,035",153,69,248,191,185,449,0
"5,521",851,162,53,547,350,"2,056",0
947,36,86,"1,422",141,72,152,0
160,480,114,765,190,99,878,0
"3,869",693,123,917,377,119,"1,234",0
"1,435",226,97,519,359,138,"1,104",0
125,519,58,"1,172",121,189,307,0
509,741,92,"2,161",323,222,"5,063",0
354,358,72,"1,269",397,42,632,0
"3,874",982,109,"1,350",747,162,"2,428",0
"1,879",806,99,821,418,137,"1,295",0
"6,374",663,317,49,952,350,"3,038",0
583,413,52,"1,046",314,104,"1,565",0
"4,551",643,266,356,895,264,"2,008",0
"1,299",531,120,367,609,135,457,0
"1,705",272,92,892,315,157,"1,963",0
"2,241",106,65,856,706,20,890,0
"1,982",675,292,"1,335","1,683",312,961,0
160,454,143,"1,442",345,199,"1,797",0
"2,885",200,65,923,448,128,"1,784",0
"3,227",423,98,"1,018",472,159,"1,016",0
"1,673",360,113,"1,180",498,141,"2,097",0
797,454,100,"1,624",477,128,"1,235",0
"3,122",485,54,"1,299",458,159,566,0
233,214,77,718,155,170,829,0
"5,841",327,172,"1,645",488,266,656,0
910,292,83,"1,214",239,229,480,0
"2,457",150,127,"1,089",334,108,474,0
801,667,58,718,217,69,"1,232",0
"4,369",317,230,197,582,113,"1,165",0
"4,052",852,29,357,271,72,"1,432",0
"1,524",304,169,"1,088",510,201,764,0
"4,919",220,82,575,684,131,"1,380",0
"1,142",274,73,"1,193",287,110,564,0
"3,255",676,88,923,429,171,"1,031",0
"1,622",2,27,345,294,74,184,0
"2,801",631,92,"1,541",613,92,"1,440",0
709,211,96,"1,854",485,183,827,0
"2,326",306,106,675,509,160,815,0
"1,625",545,47,248,632,126,"1,008",0
814,134,127,"1,510",348,134,"1,454",0
362,266,116,214,271,243,980,0
"1,373",394,83,832,362,123,969,0
"5,763",592,124,598,829,262,"1,677",0
199,-5,54,635,138,160,140,0
19,378,121,"1,181",238,59,863,0
"4,092",961,231,274,740,410,841,0
989,283,253,-17,206,240,296,0
"4,703",555,128,632,594,174,"1,839",0
"2,883",994,316,"1,250",967,299,"1,856",0
133,223,8,"1,037",546,179,448,0
883,193,102,"1,610",878,159,"1,183",0
298,139,76,"1,174",324,40,399,0
391,641,77,"1,124",207,81,942,0
"4,227",699,167,"2,623",739,392,"7,679",0
250,113,61,"1,166",176,120,909,0
"14,130",494,86,54,762,80,345,0
"4,172",209,135,"1,051",421,227,882,0
"1,379",144,65,"1,242",227,84,208,0
713,-18,113,960,422,80,793,0
"2,929","1,230",215,890,848,376,"1,736",0
"1,713",422,84,"1,315",423,163,"1,131",0
"1,775",654,124,820,295,338,733,0
366,564,122,"1,296",363,219,703,0
"1,664",799,132,458,652,201,"1,553",0
511,107,60,"1,028",152,65,793,0
"5,133",784,110,250,556,131,686,0
"5,244",683,260,301,851,232,"2,644",0
"9,328",653,290,195,948,379,"1,482",0
"2,044",215,139,709,484,228,994,0
"2,221",919,206,260,632,256,"1,659",0
501,526,69,935,238,98,473,0
"2,265","2,782",197,"2,358","1,355",271,"4,243",0
"3,136",137,259,358,"1,179",300,468,0
"1,716",166,33,588,312,70,"1,008",0
"1,784",449,147,"1,194",705,198,"1,289",0
432,829,155,540,322,290,956,0
"1,707",235,83,675,267,38,576,0
"2,714",633,117,983,393,186,"2,529",0
"1,195",162,125,"1,235",536,277,771,0
"1,255",262,110,"1,416",366,122,643,0
266,"2,831",28,709,111,"2,182","2,085",0
"5,086",165,115,320,709,84,"1,122",0
"3,284",426,68,482,503,147,"1,430",0
"7,955","1,739",174,-175,883,330,"2,989",0
72,328,57,240,187,310,138,0
710,512,88,"2,071",880,100,512,0
917,373,69,966,253,200,"1,314",0
"5,218",803,202,"2,397","1,142",216,"1,513",0
"1,997",72,117,944,402,151,693,0
176,145,25,251,279,68,348,0
792,-52,43,894,184,161,537,0
17,818,52,382,265,380,935,0
252,274,92,"1,698",165,113,"1,910",0
326,445,100,"1,018",317,203,541,0
"1,053",82,61,635,162,48,322,0
"7,316","1,014",111,498,809,203,"2,011",0
"2,042",90,61,784,131,113,761,0
904,250,71,657,132,147,"1,063",0
-58,-146,-13,"1,096",41,2,91,0
"4,424",824,134,999,653,250,"1,128",0
"2,312",127,75,769,346,107,573,0
"3,746",770,139,120,647,80,"2,591",0
"3,373",-52,141,537,386,199,"1,600",0
989,-58,16,526,109,5,885,0
