CIP2A_APC,CD41_APCH,CD42_BV605,Vimentin_488,PVR_PECy7,MICB_PE,Zombie,Colony
21,22668,16488,437,2168,421,346,0
8,1808,763,697,2166,581,1263,0
85,31186,14266,1060,4087,1251,937,0
97,15915,638,571,2427,522,839,0
29,27799,15834,486,2282,374,302,0
128,28187,10639,1754,3707,1576,2416,0
34,6848,483,443,3008,497,887,0
78,17891,2814,670,2225,535,872,0
80,6887,985,838,2756,411,1082,0
29,12828,670,658,2575,780,1242,0
23,5552,391,362,2571,421,795,0
276,2538,784,671,2939,453,950,0
14,14624,11532,445,2742,475,199,0
92,32425,3449,1212,4718,739,1500,0
32,8805,840,563,4883,1246,919,0
30,5488,567,603,2325,726,929,0
75,37999,6464,987,4187,718,1457,0
67,9582,1060,815,3079,675,1275,0
44,13615,1187,1023,2541,546,1476,0
60,23354,4177,778,3137,1277,1164,0
35,2555,669,674,3208,379,955,0
83,7370,1610,1350,2991,1318,2053,0
60,2502,741,660,2482,566,1281,0
49,24585,1675,1167,3761,543,1504,0
15,12411,10258,443,2798,680,530,0
30,17408,1584,537,2117,445,873,0
19,2505,413,348,2296,572,616,0
9,6700,526,436,3050,929,784,0
31,9033,329,379,2939,400,800,0
98,53539,15657,1290,3051,1151,830,0
7,5399,478,383,2141,463,638,0
24,5813,512,457,2832,365,970,0
97,12952,1328,1897,3326,1024,2869,0
48,8220,846,756,3582,584,1576,0
41,2516,716,755,3455,367,1485,0
55,7376,810,548,4139,852,741,0
11,22548,8077,486,3805,758,538,0
96,27442,3317,2042,3846,989,2765,0
41,4073,1211,1086,4767,639,2314,0
7,5378,566,474,3013,800,1128,0
57,4502,758,672,2886,618,1235,0
66,4575,1321,1154,5038,402,1460,0
82,35297,13357,759,3221,695,817,0
21,28884,13041,1274,3747,961,1801,0
39,1976,762,449,2640,1005,982,0
42,17984,2009,543,2413,397,815,0
18,8973,5794,553,2833,410,730,0
10,4705,709,477,5162,1163,793,0
18,1158,371,395,2518,382,646,0
24,4473,794,772,3165,369,1491,0
40,3346,591,533,2687,370,757,0
9,1708,372,352,2625,452,608,0
31,2086,614,454,2657,508,989,0
20,3771,480,302,2294,420,664,0
18,14650,2229,436,2153,367,523,0
37,28653,4850,401,2373,467,548,0
33,2328,623,476,4061,459,900,0
126,41121,13529,1534,3544,931,1768,0
4,3286,389,317,3213,687,522,0
82,34480,7021,1317,9125,1087,1652,0
37,2022,566,566,2993,909,903,0
30,4181,276,318,2449,463,514,0
85,25439,9984,1411,2184,564,1873,0
99,24451,5458,2397,3782,754,1546,0
39,28237,12750,1106,4569,608,992,0
47,4293,516,515,2341,423,1254,0
69,9931,669,606,3705,561,1046,0
117,57609,9354,1120,3938,1591,1400,0
75,35440,32911,663,2374,409,-33,0
27,8200,1024,705,3324,445,1160,0
79,13188,1395,616,2738,648,1068,0
41,6064,892,750,2518,504,1172,0
86,25666,3820,1441,5097,908,1687,0
8,353,453,422,2417,471,801,0
28,21368,10108,400,2378,390,289,0
17,9617,630,610,2639,415,1222,0
58,2773,900,690,2734,459,1068,0
62,9576,789,674,2864,979,1482,0
70,29449,10448,775,2624,942,1133,0
13,6720,1418,644,2813,889,1197,0
60,16498,13255,494,2375,475,364,0
42,339,645,570,3689,420,1265,0
60,32792,19347,1106,5027,570,1412,0
312,22712,19573,426,2871,411,324,0
72,24531,4120,1057,2607,1012,1794,0
288,34732,22679,996,7303,6463,825,0
17,8082,1680,551,3191,605,1504,0
42,7267,500,495,3365,367,831,0
62,38371,32832,786,3748,884,339,0
45,9292,1035,914,2988,395,1910,0
29,1945,577,482,2928,390,1014,0
42,9347,1310,644,2631,520,1216,0
58,8789,2691,645,3016,759,1216,0
-4,17080,9712,380,2215,489,241,0
36,2458,325,303,3130,502,646,0
49,12798,1487,1045,2189,945,1702,0
69,36832,4770,1266,4888,1775,1890,0
141,23439,7331,1878,2896,639,1119,0
47,20119,1474,1298,4836,1427,1666,0
58,12313,1659,1041,4241,1453,1461,0
99,44372,13559,1388,2636,462,1266,0
9,15463,600,277,2348,364,561,0
25,5727,613,544,3161,381,1155,0
124,18905,6459,1640,2297,1073,2916,0
41,20943,3897,674,2387,368,1104,0
36,3232,307,369,2475,535,571,0
120,38144,23799,1153,4835,839,1780,0
43,11525,1177,826,2841,549,1604,0
43,12227,1677,449,2131,369,864,0
48,13129,2119,525,2211,479,844,0
41,29177,6827,711,3573,865,910,0
84,38307,10366,1209,3209,502,2060,0
50,3476,686,526,2896,424,982,0
20,10515,684,487,2544,613,840,0
11,8047,352,395,2141,553,706,0
47,3305,744,534,2405,1358,941,0
139,50988,22113,1315,4469,980,1515,0
49,12705,4926,409,2530,512,503,0
30,3771,594,517,2949,368,679,0
21,15422,3706,528,2400,468,648,0
9,3362,351,269,2655,489,588,0
23,11952,1047,1123,3193,559,2300,0
56,18892,1137,961,3649,1570,1575,0
53,6664,578,426,2150,466,804,0
64,15609,1290,1109,5582,1329,1623,0
34,9891,937,686,3373,833,1332,0
70,10559,4645,491,3182,390,745,0
22,11348,679,444,2345,377,1102,0
65,4896,905,712,2931,1115,1309,0
76,8102,797,613,2948,582,1350,0
16,4403,562,473,6377,1051,1072,0
11,23051,5280,1203,5308,1019,1329,0
44,5651,850,687,3828,482,1157,0
31,2472,566,417,2808,655,1020,0
25,1707,546,372,2791,491,741,0
92,20573,1171,1050,3187,865,2427,0
107,24061,1991,1155,4488,2167,2441,0
44,3363,798,648,2799,389,1245,0
31,1458,804,697,2921,644,1548,0
88,26019,7413,1110,2335,448,1641,0
34,3725,415,418,2859,442,939,0
968,106571,28568,780,5201,863,-125,0
30,3305,723,642,3042,404,1248,0
70,30095,8337,1581,4718,1132,1490,0
28,6039,639,572,2235,451,820,0
15,23730,5690,880,4319,907,2035,0
34,6759,917,743,4056,467,1288,0
18,21384,5703,270,2970,586,577,0
33,7972,2029,782,2395,417,1787,0
100,10531,1710,1370,4108,773,2050,0
20,3661,435,378,3140,900,749,0
72,12701,1563,1249,2911,719,1853,0
46,2289,573,465,3552,782,877,0
47,22327,19239,347,3764,797,536,0
15,138,315,278,2545,418,630,0
117,2297,1503,1293,3914,689,1835,0
22,3289,427,369,2857,695,564,0
98,3662,692,591,2897,769,1121,0
24,1531,915,660,4379,436,1324,0
30,10230,1431,650,2836,476,1280,0
29,4063,505,346,3562,2149,713,0
37,3480,585,448,2809,425,954,0
101,17866,758,625,2374,496,1481,0
16,1503,520,485,3507,440,848,0
53,43132,24961,1116,3709,554,717,0
68,53845,20860,1068,3042,804,1133,0
15,5385,459,379,2638,516,952,0
20,8283,1012,870,2135,403,1316,0
4,28169,7222,674,3439,760,2381,0
63,7075,716,735,2860,522,843,0
75,28548,23929,840,3867,838,657,0
33,7071,1024,888,3078,925,2072,0
23,10677,1292,1163,3337,887,1912,0
12,5040,534,439,2393,397,1052,0
66,15290,417,328,2382,371,475,0
43,19978,7793,1287,2700,838,1720,0
36,4534,476,358,3188,416,563,0
25,3584,495,372,2285,643,663,0
9,16373,4350,396,2189,414,657,0
66,1005,578,566,2737,451,1063,0
35,6371,527,457,2325,960,850,0
13,780,626,366,3467,1060,639,0
45,17053,9060,978,3196,568,1062,0
14,3329,438,326,2387,559,602,0
145,11889,1721,1621,4211,843,3339,0
42,1178,635,518,2422,856,980,0
22,6333,541,462,2403,449,747,0
43,9332,1096,799,3698,562,1260,0
50,4313,2237,502,2589,1012,783,0
32,31843,5719,1555,3553,906,1312,0
24,1113,540,479,2357,424,698,0
95,21054,2325,826,2415,473,1094,0
125,26418,4478,1347,2993,475,2253,0
40,4507,1066,772,2612,388,1036,0
36,7971,665,557,2334,497,1044,0
27,2814,563,475,2533,581,1302,0
21,2858,414,473,2254,379,824,0
58,16735,1630,683,2165,482,1634,0
114,4919,1533,1086,4167,1534,1667,0
62,3109,902,823,4154,476,1055,0
67,6430,882,787,3742,563,993,0
77,18310,4354,1459,4692,422,3516,0
36,15085,1265,490,2128,481,1268,0
