CD41_APCH7,PLVAP_APC,MICB_PE,Zombie,CD42_BV605,PVR_PECy7,Colony
"1,387",200,642,303,"4,179","1,056",0
550,307,326,615,"39,943",340,0
946,558,680,528,"13,102",501,0
59,15,69,157,385,231,0
420,88,225,"1,215","8,852",73,0
408,106,887,376,"8,042","1,222",0
186,86,205,417,466,351,0
"1,127",142,"1,245",268,"4,250","2,094",0
478,184,249,385,"14,215",673,0
364,102,762,141,"9,672",973,0
449,106,915,329,"2,910","1,413",0
424,84,368,346,"6,920",330,0
855,123,263,394,"14,452",136,0
255,256,214,473,"1,030",422,0
881,596,313,"1,841","8,819",718,0
416,408,195,281,"22,620",204,0
365,185,704,295,"20,156","1,031",0
699,61,102,293,"1,550",364,0
"1,078",520,670,213,"10,253",509,0
141,62,582,312,"8,000",482,0
"1,628","1,073",330,958,"31,572",274,0
620,45,476,376,"1,886","1,434",0
"1,393",179,927,184,"3,099",961,0
558,108,"1,456",323,"6,971","1,339",0
"1,208",787,389,802,"31,998",236,0
"1,222",259,690,185,584,"1,403",0
"1,040",181,655,187,"3,342",830,0
"1,758",555,484,215,"13,506",526,0
205,52,258,615,643,"1,162",0
712,320,556,360,"21,112",625,0
351,272,950,269,"18,545",271,0
361,168,425,593,"10,942",323,0
"1,913",820,310,351,"26,637",459,0
632,231,402,517,"18,964",439,0
137,59,132,312,"3,248",235,0
"1,655",186,203,832,"2,785",-35,0
110,39,821,316,"1,623","2,167",0
600,229,958,426,"11,996",979,0
"1,633",596,295,"1,265","17,669",133,0
"1,215",227,230,610,"9,423",523,0
305,97,"1,021",139,"8,508","1,012",0
"1,067",126,400,841,864,827,0
517,115,192,219,"1,541",414,0
650,93,526,181,265,457,0
82,-24,443,148,392,184,0
"1,405",77,469,298,446,"1,129",0
525,159,133,149,"12,463",17,0
44,8,269,727,"8,718","1,265",0
956,526,507,"1,537","36,793",-3,0
"1,879",385,120,"1,144","11,216",206,0
293,-2,288,237,"3,008",477,0
628,184,176,661,"6,317",519,0
"1,922","1,329",600,"1,167","37,760",184,0
"1,591","1,117",510,428,"26,219",556,0
639,205,777,299,"1,628","1,164",0
"1,487",191,482,598,"5,240","1,162",0
356,80,324,512,"5,863",543,0
893,501,96,"1,384","20,248",273,0
"1,208",304,937,253,"7,019","1,485",0
"6,968",-187,239,284,"1,885","2,287",0
915,168,702,74,"6,456",660,0
"1,382",296,738,105,"9,811",902,0
"2,073","1,056",498,363,"20,286",337,0
689,101,373,256,"1,736",682,0
43,-18,347,217,297,570,0
425,281,704,416,"33,271",572,0
"1,192",93,"1,291",520,439,"2,486",0
590,262,192,546,"14,024",117,0
167,98,930,204,351,"1,008",0
458,124,706,252,"5,384","1,065",0
"1,257",573,983,415,"37,128",819,0
161,139,"1,208",356,"17,981",692,0
978,247,188,320,"3,699",359,0
418,198,"1,231",312,"7,661",838,0
978,327,870,251,"5,151","1,046",0
661,375,596,187,"16,031",286,0
503,155,114,349,"11,662",259,0
200,46,529,431,497,"1,437",0
263,135,431,238,"30,669",415,0
539,121,202,928,"13,184",133,0
559,73,295,379,"1,099","1,452",0
28,17,174,269,207,593,0
501,292,342,166,"36,186",427,0
271,22,309,427,"1,202","1,129",0
410,274,290,385,"26,155",370,0
395,80,95,306,"1,157",153,0
31,54,112,91,302,242,0
930,337,54,300,"8,197",131,0
560,148,131,678,"11,692",136,0
"2,222",867,324,889,"22,465",253,0
648,66,264,444,615,"1,070",0
797,233,275,194,"8,248",447,0
658,107,500,380,"9,016",711,0
413,84,182,205,288,537,0
"1,292",309,373,193,"7,818",649,0
984,332,35,937,"17,324",127,0
777,428,288,579,"11,274",466,0
"1,052",56,489,161,715,"1,463",0
"1,838",320,981,381,"9,444","1,733",0
"2,156",906,210,754,"21,224",354,0
496,87,288,267,"5,332",306,0
360,56,373,203,"1,519","1,221",0
703,344,331,485,"32,723",545,0
70,70,647,414,309,"1,767",0
118,70,"1,255",254,"7,672","3,412",0
758,540,201,151,"26,357",299,0
32,-16,613,235,"5,967",581,0
447,250,"1,181",24,"36,998",912,0
-6,27,195,739,"3,732",427,0
"1,206",390,"1,638",225,"11,437","1,105",0
878,911,208,"1,283","40,445",123,0
"1,309",207,"1,146",336,"5,385","1,873",0
"1,164",699,354,700,"22,867",438,0
"1,297",70,560,380,608,821,0
"3,581","1,556",211,745,"26,661",737,0
235,119,274,832,"20,962",356,0
39,17,134,131,251,181,0
672,411,200,612,"28,727",369,0
709,180,378,429,"14,532",316,0
895,387,73,316,"9,227",305,0
390,68,255,549,686,625,0
"1,309",251,596,307,"3,284",285,0
198,12,282,118,151,664,0
810,391,328,898,"17,567",73,0
346,33,597,172,"5,598",771,0
"1,680",433,"1,067",282,"6,639","1,233",0
262,56,232,340,"5,546",383,0
211,24,698,215,"2,002","1,104",0
84,12,70,224,"7,949",88,0
458,28,734,256,717,"1,449",1
605,125,210,"1,154","11,473",50,0
"1,387","1,825",880,695,"82,163",611,0
966,355,351,194,"14,613",517,0
309,146,840,202,"6,182","1,423",0
472,115,329,341,"4,216",914,0
161,46,328,323,253,"2,803",0
216,143,181,460,"20,938",222,0
335,3,208,372,"1,005","1,178",0
679,168,636,239,"2,523",926,0
"1,205",425,438,463,"17,455",630,0
235,128,564,219,"11,254",604,0
492,40,578,629,"5,317",641,0
"1,723",362,192,"1,253","6,941","1,590",0
821,88,276,868,"1,386",752,0
"1,325",148,680,158,"1,669",710,0
4,81,275,803,"15,022",212,0
780,94,361,921,908,919,0
271,110,568,125,998,832,0
442,124,251,321,"7,012",274,0
179,79,598,179,"9,772",715,0
"1,119",430,618,432,"7,552",709,0
509,81,68,468,437,162,0
546,116,586,719,786,"1,402",0
57,-8,275,214,180,652,0
746,321,"1,137",216,"12,394","2,429",0
"2,248","1,502",459,-36,"44,833","1,417",0
414,127,362,582,"20,553",148,0
"1,440",193,541,306,"5,980",829,0
441,208,472,234,"22,090",902,0
224,82,182,742,"12,616",26,0
719,150,751,799,938,"1,077",0
"1,123",545,497,812,"41,696",596,0
150,90,492,190,202,425,0
"1,781",223,176,327,"3,255",562,0
695,181,279,632,"5,890",370,0
"1,163",134,193,940,"1,845",503,0
171,55,218,971,"2,904",423,0
38,42,212,122,330,235,0
22,12,113,233,268,155,0
471,477,300,252,"56,551",391,0
322,92,150,240,"7,108",130,0
275,53,160,479,641,387,0
792,176,537,186,"5,708",825,0
439,119,800,428,"12,453","1,578",0
244,104,640,299,833,"2,737",0
528,166,810,287,"6,806",877,0
377,63,402,771,"1,074","3,909",0
389,209,582,660,"10,154",806,0
114,-4,252,145,268,110,0
843,586,402,"1,067","35,887",55,0
985,130,543,282,"3,692",709,0
214,93,329,477,"10,943",365,0
464,198,811,662,"33,013",723,0
675,361,843,209,"18,204",818,0
"2,658","1,538",282,"1,255","23,889",534,0
"2,281",382,457,252,"7,007",606,0
83,35,451,190,859,333,0
684,170,307,963,"1,315",892,0
602,110,616,617,634,562,0
625,195,511,357,"14,108",888,0
7,30,148,84,129,188,0
24,52,399,691,"19,592",313,0
758,276,213,475,"13,060",279,0
406,163,169,396,"11,331",145,0
"2,014",278,569,292,"7,264","1,802",0
258,33,191,260,365,619,0
634,57,741,311,869,"1,549",0
62,26,172,721,787,299,0
"2,273",796,307,614,"29,926",136,0
131,-1,431,166,288,755,0
433,158,293,157,"5,297",509,0
612,388,257,"1,010","39,249",381,0
964,257,447,448,"6,279","1,072",0
334,12,314,236,285,337,0
592,71,943,488,607,"1,045",0
"2,140","1,643",351,530,"54,499",713,0
886,357,320,639,"26,599",404,0
178,43,110,552,545,523,0
5,16,343,217,"2,755","1,007",0
449,287,"1,168",228,"17,953","1,254",0
828,311,435,633,"15,337",552,0
331,76,381,779,"4,627","1,062",0
244,311,"1,559",419,"16,910","1,094",0
744,679,629,455,"53,679",483,0
"1,516",709,229,"1,255","31,839",298,0
365,124,622,338,"6,868","1,031",0
"2,672",719,382,335,"14,762",727,0
"1,585",960,252,369,"19,177",671,0
932,383,116,587,"7,291",359,0
566,310,660,210,"5,416",977,1
888,143,584,247,"2,138","1,592",0
134,75,239,302,420,"1,071",0
724,211,145,441,"12,485",157,0
203,20,600,255,967,"1,666",0
927,71,206,430,"1,239",537,0
"1,238",247,137,917,"9,462",268,0
290,116,339,624,"22,624",507,0
"1,358",545,109,474,"25,399",323,0
"1,225",368,332,550,"16,760",557,0
"1,376",764,423,375,"23,615",238,0
563,289,80,666,"6,835",64,0
"1,171",147,295,984,"1,290",728,0
203,48,199,147,183,537,0
180,18,527,684,653,"1,069",0
"1,969",158,573,"1,235",981,"1,465",0
99,48,377,467,880,"1,522",0
"1,076",233,297,422,"6,882",786,0
"3,212","1,363",139,608,"17,189",942,0
"1,226",686,197,611,"17,816",439,0
"1,168",187,485,306,"4,881",732,0
669,317,227,966,"20,188",48,0
523,248,588,780,"30,848",786,0
26,58,330,159,"4,050",172,0
"1,648",722,506,189,"25,809",497,0
"1,113",229,395,258,"8,761",381,0
747,461,194,"1,324","22,591",37,0
967,320,328,893,"13,970",498,0
"1,849",566,187,583,"18,410",559,0
313,81,998,263,838,"1,757",1
435,145,751,175,"14,613",828,0
276,110,691,317,"4,385","1,047",0
316,58,259,368,"13,752",99,0
598,198,579,325,"18,500","1,040",0
253,81,197,659,"19,365",174,0
878,449,359,"1,037","18,792",292,0
465,241,541,303,"9,438","1,164",0
112,17,159,649,603,347,0
514,168,286,379,"5,816",345,0
968,77,761,206,"2,563","1,080",0
944,367,620,211,"14,712",649,0
"1,762","1,185",589,638,"36,609",304,0
107,33,211,127,106,856,0
190,46,379,186,577,213,0
782,388,678,316,"12,464",656,0
678,181,713,110,"6,824",607,0
479,48,609,402,313,839,0
413,150,576,307,"9,601",926,0
"1,449",240,-3,"1,386","5,091","5,029",0
598,80,456,271,"1,860",968,0
"1,542",286,503,286,"2,692",687,0
813,99,100,156,430,118,0
"1,023",288,99,"1,077","12,306",162,0
587,79,198,224,297,59,0
31,45,156,274,728,180,0
824,124,474,200,440,857,0
909,293,185,427,"5,883",230,0
62,16,330,914,"12,229",208,0
"1,933",534,189,981,"12,230",193,0
496,89,935,232,"3,241",803,0
322,61,262,321,"1,025",200,0
"1,241",369,212,330,"8,364",736,0
375,145,297,879,"25,991",348,0
852,381,798,594,"12,414","1,187",0
"1,150",464,242,"1,096","20,887",327,0
320,98,"1,038",233,893,"1,205",0
"1,168",457,764,384,"17,482",561,0
857,56,175,222,"1,511","1,209",0
692,525,218,"1,217","26,269",298,0
572,323,"1,167",306,"26,052",604,0
620,44,86,509,"1,526",57,0
"1,176",320,534,213,"9,261","1,020",0
"1,491",600,367,749,"7,826",564,0
228,26,139,197,"2,851",162,0
318,177,136,289,"6,697",122,0
843,379,283,532,"16,859",379,0
29,10,179,114,168,339,0
525,110,121,561,"21,778",-56,0
12,40,246,"1,397","2,614",418,0
"1,692",311,495,308,"5,035","1,227",0
140,-13,265,-29,-92,329,0
275,39,679,583,613,457,0
945,100,787,193,540,"1,503",0
"1,686",567,176,757,"14,413",259,0
413,87,801,166,"3,410",979,0
896,364,127,403,"16,166",447,0
"1,245",330,"1,236",375,"9,339","1,754",0
"2,484",274,89,274,"7,915",495,0
"1,009",179,"1,039",247,"3,598","1,692",0
398,93,520,472,323,"1,268",0
"1,413",357,183,466,"11,505",591,0
325,192,610,219,"25,292",519,0
913,491,315,305,"17,680",356,0
"1,208",410,111,431,"10,022",355,0
835,341,926,158,"11,990",621,0
24,11,656,257,470,"1,326",0
254,108,526,270,"25,438",404,0
"1,347",368,260,453,"5,901",594,0
126,99,962,267,"10,419","1,241",0
"1,022",302,145,965,"7,209",280,0
317,21,219,476,"1,044",902,0
431,242,54,531,"10,726",217,0
481,66,194,911,"3,432",287,0
123,8,887,159,"2,273","1,740",0
"1,220",512,325,485,"22,979",631,0
"1,504",92,222,251,"1,561","1,700",0
"1,994",267,411,303,"4,760","1,069",0
320,81,157,523,776,502,0
"1,277",779,482,"1,024","27,251",181,0
"1,502",252,155,415,"2,491",321,0
659,311,155,850,"12,112",343,0
"2,493",243,484,447,"1,189","1,795",0
"1,024",119,279,542,"2,765",615,0
134,-7,"1,523",282,"8,387",397,0
403,315,549,483,"25,665","1,005",0
591,566,"1,073",145,"65,552",406,0
814,226,"1,604",306,"8,601","2,981",0
306,74,187,811,"1,317",846,0
390,66,669,228,"2,007","1,267",0
891,204,515,140,"2,681","1,202",0
156,106,246,262,"8,487",215,0
966,249,224,357,"5,446",682,0
89,-3,274,75,61,331,0
24,14,49,10,266,164,0
"1,156",169,347,"1,599","4,600","4,066",0
"1,176",11,240,382,741,609,0
324,135,74,547,"1,539",261,0
295,54,289,169,213,"1,494",0
700,296,380,384,"10,062",488,0
"1,681",498,181,292,"12,423",185,0
769,83,264,588,871,835,0
586,399,518,662,"25,126",614,0
"1,384",698,494,85,"24,759",896,0
212,44,548,416,"5,562",708,0
