Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate,Cells per well
C19,"93,473","112,406","28,173","3,605",-95,554,38,245,"3,587",37,322,N,4,0
C20,"99,536","121,520","30,487","3,246",-29,154,-63,255,"1,081",269,206,N,4,0
C21,"107,613","139,082","86,763",258,-445,448,"1,353",-118,"15,329",441,"25,050",N,4,0
C22,"99,905","127,856","37,390",765,-639,668,108,-19,"17,914",156,"11,159",N,4,0
C23,"99,030","110,001","27,845",950,-301,313,36,-232,"7,394",199,"10,453",N,4,0
C24,"121,274","131,676","36,027","2,811",-31,"1,002",-28,-33,"7,155",241,"10,890",N,4,0
D1,"106,912","120,786","38,399",855,-79,761,-154,274,"4,669",81,297,N,4,0
D2,"105,641","115,148","24,425","2,247",-88,465,124,127,"6,456",58,"3,598",N,4,0
D3,"103,678","127,870","29,269","2,019",-640,523,68,133,"16,902",520,"1,492",N,4,0
D4,"143,065","148,275","27,890","2,709",-466,495,101,351,"11,410",51,818,N,4,0
D6,"134,198","133,438","69,092","3,105",-274,820,-19,587,"11,013",131,"2,030",N,4,0
D8,"100,358","109,110","20,206","2,719",46,235,82,208,"2,093",868,227,N,4,0
D9,"126,901","137,426","33,827","2,851",-465,554,63,51,"14,712",624,"5,703",N,4,0
D11,"175,785","202,650","97,164","1,170",-906,"1,400",390,787,"37,465",712,"15,118",N,4,0
D12,"121,243","138,665","27,712","1,573",-99,108,139,-69,"9,238",74,"9,199",N,4,0
D13,"98,795","119,281","26,708","3,074",-298,342,9,54,"8,733",-36,"4,116",N,4,0
D14,"107,625","119,174","21,548","3,033",-75,177,-12,189,"2,854",494,229,N,4,0
D15,"114,124","153,537","81,742",678,-709,725,130,45,"18,301",223,"23,778",N,4,0
D17,"97,349","122,754","51,387","2,534",-143,749,7,966,"5,488",186,"1,140",N,4,0
D18,"119,834","127,665","22,155","2,178",13,497,430,589,"6,654",197,887,N,4,0
D19,"116,580","146,565","37,600","2,138",-102,367,-12,237,"7,941",296,"1,014",N,4,0
D20,"127,763","155,328","39,053","1,932",-888,723,-63,47,"22,813",782,"7,146",N,4,0
D21,"88,638","108,465","39,729","3,117",-245,666,58,477,"6,004",272,468,N,4,0
D22,"120,839","143,330","77,532","1,345",-148,433,230,-80,"3,316",-13,"12,661",N,4,0
D23,"119,731","131,337","26,312","1,824",-250,540,87,386,"6,798",486,891,N,4,0
D24,"117,462","145,089","41,404","3,250",-50,691,91,123,"13,812",626,"10,705",N,4,0
E1,"114,404","137,540","39,253","1,574",-521,590,164,179,"13,568",208,"7,446",N,4,0
E2,"99,139","108,023","24,092","1,916",-431,413,43,238,"11,409",202,"2,307",N,4,0
E3,"112,144","130,264","44,752","1,609",-262,780,68,817,"9,619",564,968,N,4,0
E4,"97,394","116,950","21,791","2,202",-190,316,19,78,"5,921",292,"3,791",N,4,0
E5,"102,302","118,526","30,784",542,-353,733,51,274,"9,580",432,271,N,4,0
E7,"110,091","132,005","28,951","2,727",-730,339,-7,-202,"11,490",805,"5,620",N,4,0
E8,"108,312","133,666","64,835",76,-995,425,28,490,"23,889",255,"4,902",N,4,0
E9,"119,172","127,667","23,130","2,409",-470,527,146,118,"11,573",254,"1,433",N,4,0
E10,"108,031","125,753","37,488","3,140",127,421,298,324,"3,640",-51,"1,455",N,4,0
E12,"116,728","126,186","62,338","1,830",-268,766,68,622,"11,370",356,627,N,4,0
E13,"102,788","111,210","22,893",854,-78,449,100,201,"2,837",287,609,N,4,0
E14,"110,927","126,293","27,018","1,372",-445,410,84,43,"11,600",636,"2,315",N,4,0
E15,"134,772","183,291","93,517",167,"-1,052",355,10,-960,"22,236",-127,"34,406",N,4,0
E16,"96,092","120,018","37,998","1,846",4,809,157,253,"15,002",789,"5,731",N,4,0
E17,"121,266","132,632","73,499","5,230",-35,971,613,841,"6,936",271,"1,386",N,4,0
E18,"114,032","124,735","25,669","3,238",-274,963,157,249,"6,400",186,"4,950",N,4,0
E19,"137,837","163,845","79,606","2,154",-551,"1,408",691,-78,"21,015",439,"26,080",N,4,0
E20,"194,831","194,415","113,113","7,180",-618,"1,432",118,95,"42,056",-60,"34,918",N,4,0
E21,"105,349","115,957","45,314","2,017",-158,764,150,593,"7,498",469,691,N,4,0
E22,"97,514","113,196","24,197","3,449",-69,394,61,374,"4,639",26,510,N,4,0
E23,"99,279","107,712","23,280","1,108",-357,245,57,-112,"11,008",336,"6,891",N,4,0
E24,"119,431","128,330","20,840","2,380",-199,373,203,111,"10,132",179,"2,406",N,4,0
F1,"123,728","127,055","75,411","2,296","1,282",571,"25,617",479,"3,047","1,656",-175,N,4,0
F5,"89,380","122,938","35,855","2,100",-463,437,131,199,"14,085",844,"6,589",N,4,0
F6,"116,953","140,409","48,469","2,938",-289,813,172,682,"10,782",575,687,N,4,0
F7,"138,800","156,648","41,378","3,169",-556,614,2,304,"15,517",105,"8,622",N,4,0
F8,"127,964","154,236","63,907","1,209",-165,"1,111",41,"1,200","13,254","1,374","4,168",N,4,0
F9,"122,688","131,525","32,174","2,084",-23,678,103,193,"6,384",414,191,N,4,0
F10,"139,957","140,326","49,225","4,977",-220,"1,128",205,465,"6,570",70,"1,268",N,4,0
F14,"101,436","125,087","48,526","1,296",5,554,137,608,"3,261",268,706,N,4,0
F15,"139,492","160,785","44,196","4,104",-735,"1,131",117,292,"20,422",-24,"8,904",N,4,0
F16,"109,031","128,466","43,683","3,111",-581,809,123,84,"14,180",88,"5,845",N,4,0
F17,"186,323","221,163","76,173","3,353",-439,508,526,-611,"18,982",419,"33,182",N,4,0
F18,"110,542","118,418","20,219","3,779",-242,296,32,252,"6,210",-129,347,N,4,0
F19,"114,202","132,090","27,269","4,119",-301,493,328,184,"8,785",77,"1,330",N,4,0
F20,"104,818","113,676","20,213","1,641",-429,313,-200,40,"8,580",276,244,N,4,0
F21,"126,111","126,586","28,012","1,650",-9,318,-94,114,"5,190",116,"4,301",N,4,0
F22,"134,150","168,197","55,800","3,645",-832,"1,293",103,466,"20,222",254,"5,323",N,4,0
F23,"119,210","129,863","27,307","3,510",-523,409,105,154,"18,274",-8,"3,250",N,4,0
F24,"84,972","110,629","41,621","1,992",-70,617,158,506,"5,599",491,651,N,4,0
G1,"95,988","122,900","26,912","2,535",-135,477,118,211,"6,142","1,503",331,N,4,0
G2,"127,747","147,322","31,227","2,259",-357,707,81,203,"11,464",83,"2,235",N,4,0
G3,"94,771","104,368","23,893","2,024",-547,412,27,117,"16,873",487,"1,267",N,4,0
G5,"120,367","129,999","30,698","4,095",-98,253,-149,205,"2,631",-84,255,N,4,0
G6,"95,634","115,872","38,013","3,685",8,714,23,522,"2,110",275,478,N,4,0
G7,"104,513","124,328","21,364","2,763",-76,458,7,197,"5,429",228,509,N,4,0
G8,"107,870","137,258","28,349","2,517",-426,543,-62,307,"13,260",292,"2,817",N,4,0
G9,"95,146","115,427","23,460","1,538",-279,393,134,250,"7,582",139,"1,853",N,4,0
G10,"107,973","114,276","20,671","1,032",-328,192,-33,-123,"9,467",311,"9,397",N,4,0
G11,"96,200","112,085","22,721","1,975",-170,518,176,224,"7,578",321,298,N,4,0
G12,"119,171","133,774","27,548","2,679",-280,380,-58,-130,"8,471",-265,"8,970",N,4,0
G13,"122,174","144,559","30,030","2,198",-364,534,187,224,"9,835",465,"4,282",N,4,0
G14,"115,724","143,787","51,035","1,773",-401,"1,369",58,474,"16,118",158,"7,751",N,4,0
G15,"117,585","144,338","46,751","2,408",-3,"1,238",311,691,"5,031",207,721,N,4,0
G16,"97,664","134,103","57,068","1,967",-717,675,64,430,"19,029",88,"6,997",N,4,0
G17,"112,559","120,147","17,248","2,020",-185,523,106,116,"4,999",128,"1,017",N,4,0
G18,"106,259","138,795","52,697","1,640",-314,799,53,327,"11,062","1,623",770,N,4,0
G19,"108,129","117,636","29,764","1,917",-229,350,-5,212,"6,274",116,767,N,4,0
G22,"105,086","111,982","24,409",814,-291,792,-23,118,"8,132",140,938,N,4,0
G23,"106,353","141,089","61,538","2,507",-286,933,-12,"1,031","9,233",516,"5,480",N,4,0
H1,"135,178","155,103","59,550","9,866","-1,122","1,079",362,24,"27,538",677,"11,865",N,4,0
H3,"100,865","125,330","36,529","1,252",-303,804,35,357,"9,197",466,938,N,4,0
H4,"191,868","219,631","54,215","3,643",-88,813,69,562,"11,561",136,"6,996",N,4,0
H6,"133,126","148,820","47,061","2,361",-478,758,14,612,"10,778",348,504,N,4,0
H7,"115,300","138,048","62,784","3,417",39,"1,039",-8,"1,143","3,384",193,"1,020",N,4,0
H8,"159,112","163,680","43,714","8,508",104,499,82,361,"3,349",754,842,N,4,0
H9,"111,735","138,112","37,097",706,-588,-24,162,"-1,747","14,726","-1,367","58,805",N,4,0
H10,"118,082","135,685","44,540","1,088",-581,676,75,302,"14,910",256,"3,613",N,4,0
H11,"94,356","138,658","42,505","4,088",-56,221,210,226,"2,293",-20,315,N,4,0
H12,"114,781","139,217","41,735","1,632",-462,426,7,281,"12,191",283,"3,378",N,4,0
H13,"80,665","97,891","18,968","1,666",-303,195,6,131,"8,992",96,"1,266",N,4,0
H14,"123,591","151,755","31,515",396,-139,140,-23,-366,"9,717",320,"17,411",N,4,0
H15,"197,684","202,923","47,431","5,661","1,508","1,064",437,795,"12,650","1,862","2,881",N,4,0
H16,"139,219","166,309","65,092",996,-528,265,201,-577,"12,030",-150,"32,467",N,4,0
H18,"111,389","133,192","30,508","3,583",-74,428,119,207,"6,459",588,"2,951",N,4,0
H19,"85,287","110,349","21,980","2,227",-233,495,-74,162,"11,471",663,453,N,4,0
H20,"83,248","119,938","61,839","2,371",6,712,136,563,"1,751",449,607,N,4,0
H21,"124,594","139,035","89,907","2,834",154,794,-16,766,"3,171",358,"1,484",N,4,0
H22,"138,626","139,535","35,706","3,758",-456,"1,028",8,477,"13,938",671,"1,213",N,4,0
H23,"111,550","113,992","30,845","2,995",-143,457,12,189,"8,062",687,"2,677",N,4,0
H24,"118,078","129,205","31,449","2,841",-143,716,-90,359,"5,660",506,"2,098",N,4,0
I2,"95,930","110,897","21,259","1,511",-152,331,-149,137,"7,160",310,245,N,4,0
I4,"135,517","155,169","33,914","3,702",-492,382,57,-8,"14,639",478,"5,960",N,4,0
I5,"95,871","103,175","23,987","1,307",-110,491,138,53,"10,312",167,"5,495",N,4,0
I6,"95,441","111,161","27,495","1,261",-55,375,7,175,"4,615",296,217,N,4,0
I9,"180,395","196,866","108,100","3,050","-1,272","1,094",410,-244,"42,808","-1,095","51,352",N,4,0
I10,"108,603","124,055","38,590","3,004",-69,394,20,453,"3,246",231,408,N,4,0
I11,"133,468","143,469","40,403","2,246",-528,565,29,384,"13,846",787,570,N,4,0
I12,"113,904","133,019","32,749","2,408",-223,715,176,259,"9,030",52,"4,021",N,4,0
I13,"95,541","135,680","43,179","1,047",-482,769,124,-146,"11,602",439,"13,483",N,4,0
I15,"111,685","136,018","29,243","4,349",-242,541,-69,363,"9,099","1,015",492,N,4,0
I16,"100,873","115,201","31,460","2,080",26,331,8,339,"3,599",667,440,N,4,0
I17,"89,158","106,019","33,297","2,768",-76,259,48,253,"5,700",507,296,N,4,0
I18,"130,204","142,029","32,613","3,126",-528,732,118,24,"14,926",300,"6,173",N,4,0
I20,"91,737","152,050","49,215","2,488",-184,701,181,-25,"10,235",231,"10,158",N,4,0
I21,"140,216","143,176","32,641",768,-59,800,160,234,"8,756",429,"5,269",N,4,0
I22,"94,769","142,958","30,764","3,271",-427,291,-23,-59,"10,288",887,"8,580",N,4,0
I24,"104,556","114,712","64,035",630,-451,"1,099",-2,681,"14,537",502,704,N,4,0
J1,"119,284","128,323","33,490","2,655",-771,607,173,-225,"18,873",26,"11,417",N,4,0
J3,"106,745","121,994","29,943","3,062",-13,245,10,245,"2,977",720,246,N,4,0
J4,"174,822","189,571","44,237","4,354",11,690,176,444,"11,156",901,"1,853",N,4,0
J6,"156,866","181,937","111,832",-26,-25,683,150,653,"8,643",512,"14,060",N,4,0
J8,"133,040","132,071","31,349","2,776",-103,728,101,189,"5,706",198,"3,078",N,4,0
J9,"113,971","132,273","38,012","2,592",-185,933,247,195,"12,464",85,"9,912",N,4,0
J10,"110,095","138,073","43,193","3,123",-323,794,69,309,"11,078","1,126",798,N,4,0
J12,"91,662","133,181","69,207","1,020",-843,"1,114",402,197,"23,053",14,"17,207",N,4,0
J13,"117,936","134,765","40,957","1,667",-398,"1,177",169,199,"10,478",746,"1,158",N,4,0
J14,"137,595","144,730","49,949",75,-604,424,55,-136,"17,034",-63,"13,124",N,4,0
J15,"103,951","124,612","33,746","3,826",61,313,80,297,907,105,386,N,4,0
J16,"94,881","109,796","20,107","3,169",0,249,16,190,"3,514",77,190,N,4,0
J17,"130,616","154,177","101,610","2,160",-478,"1,887",324,744,"17,362",278,"15,630",N,4,0
J18,"119,708","120,360","21,983","3,009",14,158,59,152,"2,435",236,156,N,4,0
J19,"148,461","157,007","40,961","3,511",-507,934,325,453,"13,941",112,"2,173",N,4,0
J20,"111,060","162,013","40,354","2,385",-698,485,-155,46,"17,457",66,"5,726",N,4,0
J22,"130,607","127,981","41,654","3,693",-394,715,169,257,"13,927",896,"1,366",N,4,0
J24,"115,306","127,855","30,965","5,116",-232,303,55,222,"7,858",176,412,N,4,0
K1,"115,760","121,927","21,386","4,046",52,471,-68,258,"4,460",254,294,N,4,0
K3,"104,663","114,282","30,449","2,092",-182,297,67,280,"4,842",249,319,N,4,0
K5,"113,780","136,837","48,062","3,135",-281,696,195,61,"13,932",332,"6,053",N,4,0
K6,"182,009","177,047","29,916","1,673",-114,412,83,20,"7,863",563,"4,732",N,4,0
K7,"137,040","146,728","40,580","3,059",-147,686,-104,535,"9,075",156,"1,372",N,4,0
K8,"132,996","139,044","43,162","3,136",-386,443,-11,-289,"10,193",185,"13,031",N,4,0
K10,"109,122","114,848","30,247","2,146",-80,566,224,478,"5,504",900,324,N,4,0
K11,"141,357","133,817","35,617","1,849",-403,321,45,-515,"13,343",-107,"21,692",N,4,0
K12,"112,928","132,130","26,140","2,059",-173,512,266,199,"6,858",500,"2,524",N,4,0
K13,"120,031","140,576","52,917","2,316",-132,927,-27,714,"4,955",603,635,N,4,0
K14,"87,387","114,036","42,487","2,234",-78,407,-14,361,"3,623",165,374,N,4,0
K16,"122,763","146,728","34,612","1,026",-249,427,267,71,"9,198",159,"6,928",N,4,0
K17,"114,567","126,675","31,147","2,970",-238,334,25,217,"4,677",14,611,N,4,0
K18,"111,847","128,144","36,825","2,718",-743,502,-153,322,"17,385",26,420,N,4,0
K19,"121,874","156,607","65,292","4,889","-1,160",491,201,-635,"26,146",430,"13,852",N,4,0
K20,"105,142","113,697","23,372","2,451",29,110,62,171,"2,129",94,246,N,4,0
K21,"141,339","169,347","39,506","6,803",-299,425,225,200,"9,443",-262,"6,539",N,4,0
K22,"100,679","116,080","29,198","1,701",-39,544,195,256,"13,246",816,"2,166",N,4,0
K23,"104,763","115,535","20,131","2,219",-16,120,29,123,"1,032",133,159,N,4,0
K24,"140,343","140,529","64,034","1,973",-601,756,153,770,"15,124",350,"2,339",N,4,0
L1,"91,023","113,564","37,465","1,355",61,620,386,491,"9,479",778,"2,465",N,4,0
L2,"111,249","145,887","53,269","3,057",-668,724,-2,117,"20,679",960,"13,916",N,4,0
L3,"122,707","135,153","45,730",508,-405,404,108,-736,"9,542",103,"29,549",N,4,0
L4,"110,692","141,264","50,012","6,482",-363,542,42,470,"11,386",199,"1,012",N,4,0
L5,"118,959","129,194","31,556","3,055",-319,609,-15,259,"9,539",419,613,N,4,0
L6,"106,043","134,409","77,885",543,-230,717,38,863,"10,707",440,"1,495",N,4,0
L7,"74,754","102,065","46,554","1,058",627,96,"8,764",-12,"4,566",533,857,N,4,0
L8,"114,047","169,233","75,274","1,171",-410,"1,040",579,580,"20,099",263,"11,314",N,4,0
L9,"123,539","135,605","27,382","3,592",-132,576,199,363,"4,603",552,671,N,4,0
L10,"137,428","136,704","41,998","3,961",-50,465,191,332,"2,084",639,347,N,4,0
L11,"107,947","123,360","29,538","3,270",-514,383,141,-50,"22,330",39,"8,498",N,4,0
L13,"98,258","112,115","28,799","2,351",10,270,146,303,"2,305",406,409,N,4,0
L14,"115,426","136,168","49,142","4,248",-136,628,72,675,"4,084",228,"2,140",N,4,0
L15,"98,913","111,617","25,141","3,698",-44,210,14,228,"1,093",73,254,N,4,0
L16,"112,806","128,497","30,021","1,277",-511,683,-68,218,"14,539",437,"5,072",N,4,0
L17,"105,849","127,166","52,999","1,628",32,699,32,559,"4,514",152,629,N,4,0
L18,"166,883","165,366","63,274","10,970",-142,712,163,717,"9,917",540,902,N,4,0
L20,"122,659","128,617","26,867","2,658",-131,376,26,201,"4,813",82,201,N,4,0
L21,"107,681","123,781","40,686","2,415",-58,500,68,377,"2,600",515,390,N,4,0
L22,"89,071","115,883","21,086","2,166",-281,365,-40,141,"7,685",226,300,N,4,0
L23,"87,106","107,023","39,638","2,876",9,329,163,412,"2,573",335,543,N,4,0
L24,"112,412","138,880","38,381","2,772",-685,246,54,-64,"21,029",196,"8,735",N,4,0
M1,"114,564","123,756","33,601",775,-156,433,252,150,"11,211",-74,"13,196",N,4,0
M2,"126,582","128,527","43,707","1,891",-591,417,-41,-347,"16,550",-221,"19,383",N,4,0
M3,"96,930","112,679","22,834","1,710",-274,209,106,161,"7,440",41,530,N,4,0
M4,"123,245","136,544","32,085","4,159",39,308,49,342,"2,579",384,506,N,4,0
M5,"90,299","106,207","28,407","2,065",-115,501,67,137,"4,965",734,166,N,4,0
M6,"106,477","111,144","20,010","2,281",-183,334,-36,92,"4,695",-14,"2,086",N,4,0
M7,"126,430","136,645","20,732","1,810",-447,356,-35,-98,"8,105",161,"2,779",N,4,0
M8,"122,433","145,664","38,097","2,668",-323,547,181,323,"9,917",63,"1,737",N,4,0
M9,"90,676","134,752","27,520","1,752",-192,461,-17,225,"9,747",110,"1,263",N,4,0
M10,"102,476","123,353","32,901","2,190",-277,612,-35,6,"10,785",519,"6,475",N,4,0
M11,"116,182","137,695","58,456",819,"-1,065",432,216,-283,"25,264",391,"16,516",N,4,0
M12,"98,092","104,889","21,011","3,499",-113,481,128,154,"5,580",57,192,N,4,0
M14,"139,229","144,020","36,718","4,499",-84,806,-12,372,"4,746",51,"1,964",N,4,0
M15,"108,691","162,141","22,867","1,600",-225,545,207,191,"9,745",254,"3,521",N,4,0
M16,"127,583","146,043","41,329","1,507",207,586,348,137,"14,132",94,"11,408",N,4,0
M17,"128,279","149,459","66,606",801,25,96,820,-529,"16,361","1,067","31,902",N,4,0
M18,"105,982","124,536","30,460","6,202",-131,318,12,277,"4,660",500,330,N,4,0
M19,"107,250","120,609","39,948","1,478","-1,087",481,13,-50,"23,988",322,"8,187",N,4,0
M20,"137,112","146,672","28,931","4,144",81,519,34,61,"11,340",338,"3,163",N,4,0
M21,"114,964","133,996","34,008","1,453",-91,978,137,249,"8,935",176,"4,004",N,4,0
M22,"85,491","125,218","61,097",-173,-866,"1,370",79,113,"20,816",161,"12,852",N,4,0
M23,"121,995","156,705","50,688","1,333",-567,823,-41,293,"15,192",866,"4,759",N,4,0
M24,"107,044","127,126","34,574","5,346",-160,702,106,410,"6,641",339,497,N,4,0
N1,"114,447","122,220","40,493","2,035",-7,481,100,526,"1,919",467,552,N,4,0
N2,"130,925","136,393","29,126","7,903",-126,414,191,404,"8,865",952,649,N,4,0
N3,"107,516","117,773","24,441",644,-196,219,-7,46,"5,955",117,"3,804",N,4,0
N4,"135,344","140,882","29,987","2,887",-461,614,107,-215,"11,415",72,"9,323",N,4,0
N5,"125,464","133,142","27,011","3,666",-88,282,102,293,"3,331",-63,271,N,4,0
N6,"121,952","158,800","34,247","3,367",-473,837,98,131,"14,787",3,"4,937",N,4,0
N7,"91,883","108,171","33,803","1,272",-88,294,-34,251,"4,027",12,582,N,4,0
N8,"114,135","120,332","25,915","2,455",-375,447,-38,166,"11,667",296,"2,812",N,4,0
N9,"130,045","158,797","48,612","6,014",-742,821,"2,620",517,"19,226",333,"7,629",N,4,0
N10,"111,285","119,185","14,318","2,150",-123,327,4,195,"3,006",195,248,N,4,0
N12,"122,673","123,373","49,548",888,-543,622,231,549,"16,716",298,"6,982",N,4,0
N14,"144,483","150,364","45,653","3,520",-632,"1,993",-12,91,"16,091","2,149","5,514",N,4,0
N15,"143,866","139,871","27,375","1,793",-453,575,96,313,"11,907",-38,"4,340",N,4,0
N16,"95,857","107,563","28,367","1,493",-1,266,-6,249,"3,303",526,328,N,4,0
N17,"110,864","122,267","35,072","2,688",64,313,-6,381,"1,598",655,410,N,4,0
N18,"170,453","178,993","52,608","4,174",-316,862,"1,201",250,"22,629","1,729","9,609",N,4,0
N19,"102,856","112,609","17,804","2,855",-151,316,36,138,"2,919",-55,102,N,4,0
N20,"118,920","138,468","49,292","4,559",-49,870,-3,555,"3,287",489,564,N,4,0
N21,"91,931","147,927","70,768","1,381",130,915,407,"1,326","6,850",836,"1,786",N,4,0
N22,"112,731","143,847","61,473","1,727",225,796,"2,703",534,"17,393","1,131","12,421",N,4,0
N23,"103,548","119,564","48,565","1,273",-20,544,89,544,"2,396",328,872,N,4,0
N24,"101,236","155,811","78,876","5,225",578,912,290,675,"3,819",514,"1,703",N,4,0
O1,"108,635","129,192","24,332","2,346",-455,331,148,170,"10,462",81,"1,246",N,4,0
O2,"122,968","137,927","32,112","2,845",-425,302,125,-164,"9,407",590,"13,353",N,4,0
O3,"112,553","138,431","43,457","3,723",-544,442,200,412,"16,600",340,449,N,4,0
O4,"112,457","122,440","37,262","3,989",-313,854,55,374,"8,410",989,505,N,4,0
O6,"97,041","115,004","33,829","3,782",-100,395,166,407,"3,145",396,374,N,4,0
O7,"100,928","112,564","34,003","3,402",-140,727,229,773,"5,212",165,"1,248",N,4,0
O9,"105,061","118,505","32,789","2,297",-77,453,127,339,"4,707",85,968,N,4,0
O11,"173,167","179,295","62,510","4,025",-39,"1,102",13,485,"6,149","1,274",773,N,4,0
O12,"109,416","123,265","28,324","2,305",-227,296,17,129,"7,884",-68,"1,299",N,4,0
O13,"110,405","119,216","22,072","2,996",-169,731,108,198,"8,785",380,"1,854",N,4,0
O14,"171,273","186,179","51,624","5,684",-371,783,226,-11,"16,621",462,"14,990",N,4,0
O15,"107,108","119,335","41,130","1,597",132,848,-23,642,"2,010",355,"1,046",N,4,0
O16,"114,483","127,458","50,511","3,432",302,685,24,801,"4,384",229,"1,316",N,4,0
O17,"85,552","114,460","41,329","1,449",-606,753,68,499,"15,005",515,"2,586",N,4,0
O18,"199,210","190,777","75,073","8,688",-365,"1,933",550,722,"23,083","1,894","6,347",N,4,0
O19,"116,422","135,559","34,377","3,535",-113,603,-9,224,"5,054",182,318,N,4,0
O20,"127,611","130,946","43,441",938,-146,598,72,200,"8,446",986,"2,451",N,4,0
O21,"94,344","104,462","26,776","3,868",-19,443,64,304,823,185,270,N,4,0
O22,"121,966","137,612","46,516","1,899",-106,940,230,501,"6,524",789,"6,017",N,4,0
O23,"90,652","131,540","32,067","4,929",-172,602,158,477,"5,770",22,430,N,4,0
O24,"104,317","129,429","78,053",274,-716,413,211,157,"23,078",178,"9,336",N,4,0
P1,"95,216","110,380","23,001","2,838",-104,520,154,214,"2,318",177,260,N,4,0
P2,"123,385","135,781","44,873","2,010",40,284,"1,211",438,"9,094",-20,"5,801",N,4,0
P3,"84,055","113,580","48,420","1,592",27,836,54,825,"4,655","1,165","1,174",N,4,0
P4,"103,280","133,135","38,434","4,583",128,242,-25,205,"1,635",169,326,N,4,0
P5,"114,606","141,210","92,510","1,686",-272,865,33,981,"9,821",532,938,N,4,0
P6,"105,997","112,536","56,635",491,-417,"1,031",980,673,"14,570",229,"1,403",N,4,0
P7,"90,392","107,253","21,323","3,079",-264,616,26,215,"7,784",340,740,N,4,0
P8,"132,151","153,809","52,600","1,784",-107,521,82,-2,"9,258",147,"11,476",N,4,0
P10,"117,277","133,194","57,284","1,714",-630,534,39,-239,"15,128","1,105","15,122",N,4,0
P11,"146,362","179,679","41,275","2,195",-846,630,126,510,"27,077",500,"3,461",N,4,0
P12,"82,810","104,939","53,052","1,975",-33,749,65,823,"4,120",218,712,N,4,0
P13,"121,345","149,979","32,953","3,537",63,466,127,285,"3,351",129,368,N,4,0
P14,"109,696","130,163","30,894","4,832",-120,692,49,441,"9,428","1,274","1,024",N,4,0
P15,"119,468","138,955","40,423","2,777",-363,509,-17,-285,"10,986",461,"13,009",N,4,0
P16,"83,734","96,443","16,236",885,41,215,-17,118,"2,214",300,196,N,4,0
P17,"129,014","135,011","41,185","3,656",-332,490,52,345,"9,829",138,321,N,4,0
P18,"100,110","109,005","28,938","2,827",-6,327,18,290,"2,690",200,334,N,4,0
P19,"101,062","126,375","39,200","3,189",-10,316,-29,269,"4,836",433,343,N,4,0
P20,"102,518","158,727","50,519","3,521",-677,358,71,43,"19,303",-47,"17,178",N,4,0
P21,"133,480","141,499","44,586","3,832",-820,567,-231,76,"10,466",511,495,N,4,0
P22,"98,051","130,809","32,615","4,470",-266,516,11,111,"8,997",630,"7,274",N,4,0
P23,"114,981","128,564","67,189","6,415",-279,"1,148",318,779,"11,496",999,901,N,4,0
P24,"101,470","120,129","25,181","2,277",-402,474,79,206,"11,114",50,748,N,4,0
A1,"147,083","164,782","32,010","3,448",-244,525,65,151,"5,318",60,290,N,5,0
A2,"94,714","121,859","43,538","3,559",44,704,21,605,"3,703",436,628,N,5,0
A3,"110,038","133,158","33,922","2,219",-179,329,42,112,"8,802",164,"2,075",N,5,0
A4,"119,410","134,579","42,592","3,854",-205,626,3,355,"9,252",764,"1,606",N,5,0
A6,"94,039","108,886","27,275","2,339",-99,290,42,190,"3,075",170,229,N,5,0
A7,"86,206","114,885","35,600","1,909",-51,238,8,260,"3,249",252,411,N,5,0
A9,"112,508","118,955","54,271","1,223",-237,483,"2,022",305,"6,817",175,"4,808",N,5,0
A10,"90,652","131,284","32,201","2,483",-376,289,19,-314,"9,144",738,"13,512",N,5,0
A12,"125,732","136,351","43,966","4,184",-466,653,-1,313,"12,788",453,"3,326",N,5,0
A13,"89,976","129,811","34,910","4,079",-176,484,67,217,"7,715",434,"3,996",N,5,0
A14,"76,953","127,396","38,703","4,703",-421,589,-171,352,"15,287",47,"1,143",N,5,0
A16,"100,761","134,296","36,236","3,486",-387,367,45,105,"9,231",330,"1,977",N,5,0
A17,"109,912","125,562","25,117","2,575",32,269,-9,173,"1,857",536,791,N,5,0
A18,"115,066","140,740","30,395",884,-338,453,88,11,"10,500",343,"5,950",N,5,0
A19,"114,884","147,478","43,162","1,261",-448,341,133,-244,"11,739",776,"13,857",N,5,0
A20,"89,011","101,311","22,769","1,225",-251,297,-12,135,"6,419",645,"1,484",N,5,0
A21,"148,380","168,624","97,219","5,146","-2,456","1,064",-23,630,"62,420","2,421","7,925",N,5,0
A22,"99,077","117,501","29,085","3,036",-245,428,1,280,"5,718",80,430,N,5,0
A23,"86,725","119,996","30,345","2,891",-47,372,-46,278,"3,121",544,289,N,5,0
B1,"114,814","113,933","26,376","2,670",-201,431,38,185,"5,030",651,"4,587",N,5,0
B2,"104,363","120,139","24,120","2,392",-217,558,17,307,"8,200",267,"1,197",N,5,0
B3,"168,159","174,212","82,686","9,229",-922,"1,116",124,26,"26,261",23,"25,511",N,5,0
B4,"103,686","143,213","35,802",888,-158,304,47,245,"4,528",264,"5,439",N,5,0
B5,"110,457","122,112","35,633","2,027",-229,343,-48,231,"6,017",231,313,N,5,0
B6,"107,046","134,908","52,196","5,429",-661,815,166,144,"20,596",433,"10,965",N,5,0
B7,"100,004","121,152","18,979","1,116",-292,311,-47,172,"6,416",379,321,N,5,0
