Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate,Cells per well
B16,"106,421","122,832","51,736","3,870",-194,"1,241",168,922,"11,872",598,"2,395",Y,5,4
B20,"87,236","101,293","20,979","3,028",-199,379,4,210,"7,300",-128,"2,081",Y,5,4
C1,"113,681","137,056","38,907","2,964",-575,924,92,354,"14,174",297,487,Y,5,4
C12,"106,283","112,330","20,841","1,168",-236,503,-13,263,"6,613",373,319,Y,5,20
C15,"115,541","127,657","29,805","3,286",-208,236,73,98,"5,083","1,058","3,608",Y,5,4
C17,"149,561","159,394","27,574","3,959",-417,444,76,70,"10,508",7,"2,999",Y,5,6
C21,"112,162","131,588","53,455","1,289",-387,615,-68,539,"13,367",672,965,Y,5,3
C24,"114,348","123,659","24,930","2,569",16,476,243,152,"2,266",589,"1,683",Y,5,5
D12,"141,784","150,557","33,734","3,519",-41,499,-41,-180,"12,859",128,"11,518",Y,5,3
D16,"108,800","139,003","36,116","2,803",-298,640,102,210,"8,676",737,"3,831",Y,5,4
D23,"145,376","184,335","100,738","8,167",-508,"1,350",-50,300,"21,351",930,"16,416",Y,5,7
E8,"112,966","118,429","27,805","3,367",-190,515,-88,375,"10,308",-127,"1,125",Y,5,4
E12,"106,378","129,267","25,606","4,037",-380,375,70,167,"9,680",755,"1,226",Y,5,5
E14,"117,763","139,700","40,691","5,513",-277,698,60,144,"10,071",783,"4,334",Y,5,4
F5,"197,733","200,115","72,255","4,493",-412,"1,013",92,712,"14,736",386,"2,051",Y,5,2
F9,"152,808","175,602","29,210","2,514",40,547,21,378,"5,085",148,"3,156",Y,5,3
F13,"118,578","141,943","42,954","3,981",-380,725,-122,259,"13,959",463,"3,238",Y,5,4
F14,"116,153","128,811","30,085","3,558",-185,518,10,270,"7,251",170,568,Y,5,9
F21,"130,612","142,388","35,707","5,333",-312,633,36,349,"8,361",683,350,Y,5,2
G9,"124,129","127,061","23,279","1,950",-60,799,-1,164,"2,987",365,933,Y,5,10
G14,"106,355","123,405","25,518","4,460",-76,691,3,416,"6,045",-116,"1,396",Y,5,2
H7,"118,454","158,984","36,939","5,191",-468,448,43,123,"10,864",292,"5,012",Y,5,5
H14,"113,085","137,669","40,718","1,151",-975,671,116,399,"25,884",163,"4,306",Y,5,3
H20,"173,020","169,028","66,994","5,075",-71,"1,497",112,"1,013","8,906",283,"1,239",Y,5,6
I2,"181,651","207,641","90,523","9,049",-279,"1,503",-88,601,"15,649","2,042","11,176",Y,5,13
I4,"113,760","147,667","48,988","2,921",-494,"1,009",83,477,"14,187","1,341","1,963",Y,5,4
I7,"114,211","124,630","21,162","2,477",-121,301,139,217,"2,478",270,611,Y,5,5
I13,"101,920","126,083","62,500","3,150",-336,443,-22,495,"9,204",-2,664,Y,5,20
I16,"105,339","165,739","70,925","6,319",-598,823,-105,-357,"14,546",13,"19,457",Y,5,2
J1,"141,736","169,011","44,281","3,560",-511,734,-96,235,"16,766",919,"3,056",Y,5,4
J2,"91,880","127,809","49,744","2,861",-720,"1,017",65,117,"17,966",560,"8,600",Y,5,10
J7,"143,545","157,324","54,766","3,464",-535,"1,217",-11,759,"17,113",429,"1,645",Y,5,3
J8,"105,499","121,160","29,877","3,463",-745,497,-2,202,"20,148","1,062","4,138",Y,5,2
J10,"133,238","151,948","46,264","3,304",-417,681,46,665,"13,956",610,"3,163",Y,5,2
J17,"140,574","162,814","44,146","4,149",-446,709,25,222,"15,415",728,"5,536",Y,5,4
J23,"155,086","159,428","41,654","7,044",-212,"1,000",14,281,"8,797",170,302,Y,5,6
K1,"116,370","130,579","45,872","3,257",-426,415,-42,56,"9,298",-164,"3,300",Y,5,4
K2,"133,100","156,245","40,114","5,935",-425,906,38,255,"11,402",242,"3,499",Y,5,4
L3,"100,789","117,909","36,831","3,388",-674,348,55,-128,"15,337",-12,"10,305",Y,5,2
L6,"138,820","165,458","40,457","6,427",-43,437,11,295,"5,995",98,"1,290",Y,5,10
L7,"108,145","129,054","29,007","4,261",-433,559,-54,249,"11,253",762,783,Y,5,11
L9,"106,378","150,689","38,487","3,294",-563,710,-38,375,"14,710","1,073","3,887",Y,5,3
L14,"153,422","153,337","35,118","4,145",-139,567,97,308,"8,256",181,"3,637",Y,5,18
M2,"116,553","126,497","25,776","3,555",-61,434,75,165,"7,505",280,"3,367",Y,5,3
M5,"91,614","133,589","26,128","2,653",-190,530,-23,314,"6,491",321,443,Y,5,2
M11,"118,375","131,799","32,729","4,957",-205,579,24,292,"6,821",475,357,Y,5,11
N5,"122,657","180,756","47,035","2,250",-714,433,111,-16,"18,975",-54,"9,502",Y,5,2
N8,"145,800","148,020","31,454","5,649",-345,419,113,291,"9,776",379,513,Y,5,9
N11,"182,405","223,090","112,995","7,058",-539,"1,180",41,562,"12,673","1,377","8,227",Y,5,3
N12,"119,563","129,853","53,448","3,389",-316,791,126,577,"10,414",238,715,Y,5,9
N15,"109,854","122,311","33,643","2,389",-309,329,-150,-255,"7,836",195,"8,351",Y,5,3
O13,"126,504","130,929","24,039","1,407",-84,461,5,289,"6,572",312,386,Y,5,4
P5,"194,578","204,656","54,910","6,809",-422,"1,366",-13,671,"16,491",631,"2,498",Y,5,5
A11,"122,411","128,323","41,897","3,332",-717,545,188,183,"14,973",249,788,Y,6,5
A22,"105,353","130,153","25,599","2,915",-516,499,-128,166,"12,220",63,537,Y,6,4
B7,"125,008","139,881","41,897","4,389",-473,662,19,194,"13,659",775,"3,734",Y,6,4
B10,"104,326","117,466","22,126","2,098",-262,368,-9,199,"7,268",-11,247,Y,6,10
B11,"112,089","118,725","21,305","2,219",61,484,93,239,"2,662",58,311,Y,6,7
B21,"132,644","162,289","48,377","3,697",-386,721,23,415,"12,071","1,248","1,159",Y,6,7
C2,"115,140","149,433","37,509","3,865",-369,768,177,296,"8,909",580,"1,118",Y,6,3
C6,"124,873","145,708","23,765","6,500",-289,496,-43,67,"8,679",-329,"2,371",Y,6,3
C8,"86,525","119,419","23,288","2,826",-177,327,11,152,"6,075",187,297,Y,6,5
C18,"133,787","157,991","43,949","4,780",-290,796,157,343,"8,865",541,"2,700",Y,6,6
D2,"124,148","135,366","44,640","2,859",-186,772,31,344,"4,193",73,601,Y,6,3
D6,"138,548","136,606","31,827","3,788",-222,537,-38,293,"6,485",339,292,Y,6,2
D11,"124,239","129,398","26,983","3,202",-816,326,25,91,"18,915",191,"1,549",Y,6,10
E5,"135,088","167,229","70,847","4,393",-314,358,369,276,"11,081",311,"17,392",Y,6,2
E20,"104,428","130,919","28,408","3,499",-446,251,78,-122,"9,559",236,"8,498",Y,6,8
F16,"199,022","218,327","61,130","8,405",-622,"1,132",281,134,"20,289","1,121","7,287",Y,6,12
F22,"105,633","157,924","39,092","6,467",-355,547,152,280,"9,596",-123,482,Y,6,10
G5,"125,033","134,569","47,371","1,892",-50,594,250,515,"11,579","1,726","1,324",Y,6,4
G14,"111,721","127,920","27,051","3,100",-188,751,26,244,"6,010",216,"1,369",Y,6,6
H2,"111,013","139,640","26,499","3,169",-223,393,28,43,"8,015",362,"5,765",Y,6,7
H3,"110,540","111,376","34,799","3,276",9,526,-108,406,"5,187",-26,"1,092",Y,6,4
H4,"85,249","125,134","25,040","2,792",-375,404,137,66,"8,370",692,"2,369",Y,6,4
H11,"128,278","143,763","36,226","3,371",-431,697,-7,180,"11,928",-11,"3,705",Y,6,4
H18,"177,894","194,802","61,935","5,822",-544,997,219,243,"17,461",763,"8,945",Y,6,8
I2,"105,503","114,121","23,495","2,956",-302,496,27,183,"8,954",19,942,Y,6,5
I3,"106,216","128,628","27,263","2,912",-33,625,36,583,"4,494",222,"1,504",Y,6,10
I15,"110,210","128,115","29,055","3,273",-568,888,-118,280,"14,771",48,"5,899",Y,6,2
I21,"89,728","115,766","26,872","3,383",-701,478,32,156,"13,922",9,245,Y,6,2
J4,"126,992","130,472","40,361","3,529",-210,712,69,279,"6,504",431,545,Y,6,19
J9,"104,644","143,640","71,083","3,657",5,"1,496",78,842,"2,084",690,786,Y,6,2
K3,"108,952","112,878","21,926","1,741",-200,264,123,23,"7,169",168,"2,256",Y,6,14
L12,"91,260","114,092","23,946","2,750",-371,238,38,68,"9,727",-130,"5,882",Y,6,3
M3,"102,487","116,057","22,577","2,761",-258,481,18,253,"5,858",327,361,Y,6,4
M11,"146,259","167,372","71,146","4,589",-423,693,128,-208,"14,925",204,"23,198",Y,6,2
M14,"106,497","117,512","22,606","1,793",-322,374,39,117,"6,162",555,"4,565",Y,6,2
N5,"106,496","134,083","30,848","2,914",-562,653,79,64,"14,166",583,"5,100",Y,6,2
N15,"98,634","127,313","48,110","4,989",-317,727,722,675,"16,691",935,"2,690",Y,6,4
A1,"102,153","122,026","20,070","2,388",-464,232,69,-156,"11,916",90,"8,162",N,3,0
A2,"116,780","133,966","57,608",696,-918,573,211,261,"20,304",53,"7,618",N,3,0
A3,"113,861","120,907","29,457","3,907",-42,384,73,466,"2,324",39,638,N,3,0
A4,"111,438","129,114","52,431","-1,010",-813,544,32,229,"23,539",367,"9,158",N,3,0
A5,"83,821","107,518","34,585","1,283",-69,724,31,510,"4,352",270,674,N,3,0
A7,"127,534","145,956","32,843","2,002",-665,753,-30,-104,"17,605",357,"9,083",N,3,0
A8,"94,986","118,743","22,871","1,775",-486,228,411,-293,"11,351",500,"12,080",N,3,0
A9,"89,883","105,031","22,106",864,-184,240,56,78,"6,443",86,428,N,3,0
A10,"122,438","130,107","24,614","1,306",-371,445,183,89,"11,131",42,"4,223",N,3,0
A11,"114,148","120,820","48,243",837,-919,440,-78,-275,"23,076",132,"12,725",N,3,0
