CD41_APCH7,MICB_647,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,CD42_BV605,Colony
"2,588",740,-170,"1,064",49,"1,088",-51,-102,0
"3,977",103,-136,"1,186",322,"1,172","1,198",659,0
"7,269",69,-116,125,14,945,"1,290",808,0
"10,067",-82,-83,346,59,898,"4,422","1,938",0
"6,607",560,-46,412,501,651,687,71,0
"4,953",196,102,250,466,150,316,884,0
"3,476",90,-3,175,208,329,-28,"1,531",0
"4,402",-21,-238,520,87,"1,223",202,"3,051",0
"5,731",258,115,-35,370,678,"1,402","1,841",0
"7,888",140,171,-76,326,-413,859,"6,823",0
"2,572",335,-124,"1,207",124,947,370,63,0
"4,418",138,-112,311,66,799,44,-22,0
"7,300",110,-26,39,430,512,"2,285","4,488",0
"11,553",-271,-273,-130,-254,"1,725",604,"2,481",0
"3,817",912,-685,-87,-662,"3,355",-902,735,0
"1,503",153,-54,"1,111",80,549,16,-16,0
"2,359",168,-183,"2,164",-76,"1,086",893,-80,0
"5,474",210,17,258,643,237,-510,856,0
"9,752",256,-52,165,161,583,"1,248","4,024",0
"6,812",468,593,295,"1,214","-2,134","1,558","12,862",0
684,494,-41,"1,648",100,656,-414,5,0
"9,178",273,93,136,362,151,"1,444","3,422",0
"17,014",7,-249,324,49,"1,680","1,179","4,103",0
"3,446",338,-94,"1,117",8,691,530,-34,0
"12,448",100,170,-85,149,-7,"2,000","10,289",0
"6,697",-13,46,-242,200,840,749,"4,952",0
"18,358",467,-113,"1,424",668,912,892,"6,297",0
"5,138",244,34,344,447,314,725,"1,088",0
"9,595",473,38,"1,533",436,600,"1,861",642,0
"7,586",282,-27,834,399,644,"2,119","1,012",0
"8,603",342,261,"1,118",961,-357,"1,782","1,843",0
"9,170",133,334,364,689,-291,"1,087","5,207",0
"6,265",295,176,378,565,-413,"1,130","2,037",0
"4,393",303,100,"1,262",520,"2,184","8,429",-115,0
"8,034",62,97,"1,659",740,766,"2,300",650,0
105,70,0,114,138,131,-62,77,0
"2,134",231,-87,"1,408",8,622,-49,35,0
"2,328",243,60,"1,208",427,58,265,161,0
"7,465",168,-39,"3,018",484,312,870,350,0
"4,008",351,55,"1,547",354,164,689,188,0
"22,215",3,-475,631,217,"3,289","3,101","5,659",0
"8,093",310,-126,562,159,828,695,411,0
"5,351",82,33,431,426,333,744,"1,129",0
"6,829",531,19,"1,765",424,222,943,381,0
"4,496",71,49,579,255,804,"6,457","1,452",0
"3,622",84,-99,839,80,695,411,-85,0
"6,619",-390,-281,514,-533,"1,846","16,023",906,0
"4,416",7,159,186,312,28,"2,529","5,868",0
"20,846",156,93,570,456,-156,171,"9,873",0
"13,990",-103,66,-24,301,888,"1,907","2,023",0
"3,087",259,151,488,289,-125,"1,308","4,418",0
"5,443",427,495,409,958,"-1,456","1,918","6,937",0
"1,990",34,4,898,270,381,551,82,0
"2,804",254,-160,"2,222",58,968,683,-77,0
"8,281",-62,36,688,360,390,562,"3,560",0
"4,264",231,-77,"1,259",564,683,369,41,0
"4,427",168,26,349,409,250,816,930,0
"1,425",320,40,"1,388",240,108,460,197,0
"5,454",338,32,"2,700",737,297,"2,327",530,0
"6,149",237,174,480,492,-145,"2,766","4,133",0
"6,285",74,-333,589,-240,"2,004","1,155",503,0
-28,194,-37,199,98,214,517,110,0
"11,854",547,340,703,979,-855,"1,241","6,368",0
"2,657",209,210,"2,276","1,128",57,"1,207",353,0
"6,169",88,94,356,180,445,"3,670","7,317",0
"1,731",443,10,869,395,267,-50,17,0
"2,476",374,44,"1,414",324,168,9,159,0
"2,112",613,53,"2,183",462,44,229,148,0
"2,854",355,-284,"1,417",-210,"1,489",221,-191,0
"9,931",635,94,"1,394",786,105,"1,528",978,0
"1,241",153,31,703,432,250,425,99,0
"6,791",-22,63,143,366,-34,297,"3,811",0
694,513,65,"1,510",322,154,588,170,0
"11,115",-91,-102,666,317,953,"1,199",86,0
989,526,11,"1,801",219,154,335,112,0
"2,957",-29,-28,740,171,305,791,39,0
"9,883",-287,-142,"1,185",-54,"1,288","6,567","5,012",0
"6,117",181,89,"1,607",362,149,"1,356","2,718",0
"11,339",-218,-237,977,444,"1,809",563,"1,630",0
"3,504",455,48,"2,950",837,378,"1,171",92,0
"5,145",173,-161,866,96,"1,234","2,807",334,0
"8,811",262,288,332,631,-500,737,"8,595",0
"7,130",-356,-605,147,-929,"2,153","30,765",100,0
"6,464",193,67,291,382,252,753,434,0
"4,290",133,246,26,546,-565,408,"4,248",0
"4,256",128,0,819,284,447,352,232,0
"7,681",178,-3,765,376,407,"1,381","9,068",0
"5,390",160,-43,367,556,442,797,65,0
"5,398",99,2,23,127,379,828,"1,295",0
"5,348",405,-46,"1,093",239,706,"2,872",396,0
-120,55,3,343,70,4,630,81,0
"4,477",-19,-441,938,-235,"2,062",165,"5,039",0
"2,575",95,269,148,490,-978,181,"3,856",0
"6,550",-97,-234,152,-91,"1,769",915,"13,000",0
"8,308",242,119,687,740,400,441,263,0
"5,779",410,301,"1,233",695,-986,"1,747","7,966",0
"17,473",-185,-69,352,"-1,423","4,017","35,947","8,351",0
"4,886",213,-169,942,317,889,728,"1,738",0
"18,726",316,-392,"1,492",-157,"1,837","4,885","12,337",0
"7,048",421,68,"1,524",523,185,929,236,0
"7,891",-100,-101,252,155,996,695,714,0
"4,961",168,-64,"1,088",473,"1,048",562,91,0
